ID,Source,Name,Name Link,Type,Final PH,Tax.range type,Strains number,Strains links,PDF
28a,DSMZ,THIORHODOCOCCUS MEDIUM,https://mediadive.dsmz.de/medium/28a,['complex'],7.1 - 7.3,['Bacteria'],['1'],['https://mediadive.dsmz.de/strains/medium/28a'],['https://mediadive.dsmz.de/pdf/28a']
28b,DSMZ,THIORHODOCOCCUS MEDIUM II,https://mediadive.dsmz.de/medium/28b,['complex'],7.5,['Bacteria'],['1'],['https://mediadive.dsmz.de/strains/medium/28b'],['https://mediadive.dsmz.de/pdf/28b']
29,DSMZ,PFENNIG'S MEDIUM II,https://mediadive.dsmz.de/medium/29,['complex'],6.8 - 7.1,['Bacteria'],['11'],['https://mediadive.dsmz.de/strains/medium/29'],['https://mediadive.dsmz.de/pdf/29']
29a,DSMZ,MEDIUM FOR CHLOROBIUM FERROOXIDANS,https://mediadive.dsmz.de/medium/29a,['complex'],6.8,[],[],[],['https://mediadive.dsmz.de/pdf/29a']
31,DSMZ,ALKALINE NUTRIENT AGAR,https://mediadive.dsmz.de/medium/31,['complex'],9.7,['Bacteria'],['154'],['https://mediadive.dsmz.de/strains/medium/31'],['https://mediadive.dsmz.de/pdf/31']
32,DSMZ,PHOTOBACTERIUM MEDIUM,https://mediadive.dsmz.de/medium/32,['complex'],7.2 - 7.5,[],[],[],['https://mediadive.dsmz.de/pdf/32']
34,DSMZ,CARYOPHANON LATUM MEDIUM,https://mediadive.dsmz.de/medium/34,['complex'],7.8,['Bacteria'],['7'],['https://mediadive.dsmz.de/strains/medium/34'],['https://mediadive.dsmz.de/pdf/34']
35,DSMZ,ACIDITHIOBACILLUS MEDIUM,https://mediadive.dsmz.de/medium/35,['defined'],4.2,['Bacteria'],['3'],['https://mediadive.dsmz.de/strains/medium/35'],['https://mediadive.dsmz.de/pdf/35']
35a,DSMZ,THIOMONAS MEDIUM,https://mediadive.dsmz.de/medium/35a,['complex'],6.0,['Bacteria'],['3'],['https://mediadive.dsmz.de/strains/medium/35a'],['https://mediadive.dsmz.de/pdf/35a']
36,DSMZ,THIOBACILLUS MEDIUM,https://mediadive.dsmz.de/medium/36,['defined'],6.6,['Bacteria'],['1'],['https://mediadive.dsmz.de/strains/medium/36'],['https://mediadive.dsmz.de/pdf/36']
37,DSMZ,SPIRILLUM MEDIUM,https://mediadive.dsmz.de/medium/37,['complex'],6.8,['Bacteria'],['15'],['https://mediadive.dsmz.de/strains/medium/37'],['https://mediadive.dsmz.de/pdf/37']
38,DSMZ,ACETOANAEROBIUM MEDIUM,https://mediadive.dsmz.de/medium/38,['complex'],7.0,['Bacteria'],['1'],['https://mediadive.dsmz.de/strains/medium/38'],['https://mediadive.dsmz.de/pdf/38']
39,DSMZ,PFENNIG'S MEDIUM I WITH YEAST EXTRACT,https://mediadive.dsmz.de/medium/39,['complex'],,['Bacteria'],['1'],['https://mediadive.dsmz.de/strains/medium/39'],['https://mediadive.dsmz.de/pdf/39']
40,DSMZ,PFENNIG'S MEDIUM II WITH SALT,https://mediadive.dsmz.de/medium/40,['complex'],,['Bacteria'],['9'],['https://mediadive.dsmz.de/strains/medium/40'],['https://mediadive.dsmz.de/pdf/40']
43,DSMZ,PFENNIG'S MEDIUM I WITH SALT,https://mediadive.dsmz.de/medium/43,['complex'],7.1 - 7.3,[],[],[],['https://mediadive.dsmz.de/pdf/43']
46,DSMZ,PFENNIG'S MEDIUM I WITH SALT,https://mediadive.dsmz.de/medium/46,['complex'],7.1 - 7.3,[],[],[],['https://mediadive.dsmz.de/pdf/46']
48,DSMZ,TRYPTONE THIOGLYCOLATE MEDIUM,https://mediadive.dsmz.de/medium/48,['complex'],7.5,['Bacteria'],['2'],['https://mediadive.dsmz.de/strains/medium/48'],['https://mediadive.dsmz.de/pdf/48']
49,DSMZ,C/10 MEDIUM,https://mediadive.dsmz.de/medium/49,['complex'],7.2,['Bacteria'],['1'],['https://mediadive.dsmz.de/strains/medium/49'],['https://mediadive.dsmz.de/pdf/49']
51,DSMZ,SPHAEROTILUS MEDIUM,https://mediadive.dsmz.de/medium/51,['complex'],7.0,['Bacteria'],['5'],['https://mediadive.dsmz.de/strains/medium/51'],['https://mediadive.dsmz.de/pdf/51']
52,DSMZ,CLOSTRIDIUM KLUYVERI MEDIUM,https://mediadive.dsmz.de/medium/52,['complex'],6.8 - 7.0,['Bacteria'],['6'],['https://mediadive.dsmz.de/strains/medium/52'],['https://mediadive.dsmz.de/pdf/52']
53,DSMZ,CORYNEBACTERIUM AGAR,https://mediadive.dsmz.de/medium/53,['complex'],7.2 - 7.4,['Bacteria'],['159'],['https://mediadive.dsmz.de/strains/medium/53'],['https://mediadive.dsmz.de/pdf/53']
54,DSMZ,GLUCOSE YEAST EXTRACT MEDIUM,https://mediadive.dsmz.de/medium/54,['complex'],,['Bacteria'],['66'],['https://mediadive.dsmz.de/strains/medium/54'],['https://mediadive.dsmz.de/pdf/54']
54a,DSMZ,REACTIVATION WITH LIQUID MEDIUM 545,https://mediadive.dsmz.de/medium/54a,['complex'],7.3,['Bacteria'],['9'],['https://mediadive.dsmz.de/strains/medium/54a'],['https://mediadive.dsmz.de/pdf/54a']
54b,DSMZ,CLOSTRIDIUM SP. MEDIUM,https://mediadive.dsmz.de/medium/54b,['complex'],,['Bacteria'],['8'],['https://mediadive.dsmz.de/strains/medium/54b'],['https://mediadive.dsmz.de/pdf/54b']
55,DSMZ,FRUCTOSE MINERAL MEDIUM,https://mediadive.dsmz.de/medium/55,['defined'],,['Bacteria'],['3'],['https://mediadive.dsmz.de/strains/medium/55'],['https://mediadive.dsmz.de/pdf/55']
56,DSMZ,TRYPTICASE STARCH AGAR,https://mediadive.dsmz.de/medium/56,['complex'],,[],['1'],['https://mediadive.dsmz.de/strains/medium/56'],['https://mediadive.dsmz.de/pdf/56']
57,DSMZ,AAM MEDIUM,https://mediadive.dsmz.de/medium/57,['complex'],5.4,['Bacteria'],['2'],['https://mediadive.dsmz.de/strains/medium/57'],['https://mediadive.dsmz.de/pdf/57']
58,DSMZ,BIFIDOBACTERIUM MEDIUM,https://mediadive.dsmz.de/medium/58,['complex'],6.8,['Bacteria'],['211'],['https://mediadive.dsmz.de/strains/medium/58'],['https://mediadive.dsmz.de/pdf/58']
59,DSMZ,LEUCONOSTOC OENOS MEDIUM,https://mediadive.dsmz.de/medium/59,['complex'],4.8,['Bacteria'],['3'],['https://mediadive.dsmz.de/strains/medium/59'],['https://mediadive.dsmz.de/pdf/59']
60,DSMZ,MOORELLA MEDIUM,https://mediadive.dsmz.de/medium/60,['complex'],6.9,['Bacteria'],['4'],['https://mediadive.dsmz.de/strains/medium/60'],['https://mediadive.dsmz.de/pdf/60']
61,DSMZ,THERMOANAEROBACTER MEDIUM,https://mediadive.dsmz.de/medium/61,['complex'],6.8 - 7.5,['Bacteria'],['17'],['https://mediadive.dsmz.de/strains/medium/61'],['https://mediadive.dsmz.de/pdf/61']
63,DSMZ,DESULFOVIBRIO (POSTGATE) MEDIUM,https://mediadive.dsmz.de/medium/63,['complex'],6.8 - 7.0,['Bacteria'],['91'],['https://mediadive.dsmz.de/strains/medium/63'],['https://mediadive.dsmz.de/pdf/63']
63a,DSMZ,DESULFOTOMACULUM (14.5) MEDIUM,https://mediadive.dsmz.de/medium/63a,['complex'],6.8 - 7.0,['Bacteria'],['1'],['https://mediadive.dsmz.de/strains/medium/63a'],['https://mediadive.dsmz.de/pdf/63a']
63b,DSMZ,DESULFOVIBRIO MEDIUM (SEAWATER),https://mediadive.dsmz.de/medium/63b,['complex'],6.8 - 7.0,['Bacteria'],['2'],['https://mediadive.dsmz.de/strains/medium/63b'],['https://mediadive.dsmz.de/pdf/63b']
63c,DSMZ,DESULFOVIBRIO MEDIUM (CHOLINE),https://mediadive.dsmz.de/medium/63c,['complex'],6.8 - 7.0,['Bacteria'],['1'],['https://mediadive.dsmz.de/strains/medium/63c'],['https://mediadive.dsmz.de/pdf/63c']
65,DSMZ,GYM STREPTOMYCES MEDIUM,https://mediadive.dsmz.de/medium/65,['complex'],7.2,"['Bacteria', 'Phages']",['3653'],['https://mediadive.dsmz.de/strains/medium/65'],['https://mediadive.dsmz.de/pdf/65']
67,DSMZ,CY-AGAR,https://mediadive.dsmz.de/medium/67,['complex'],7.2,['Bacteria'],['69'],['https://mediadive.dsmz.de/strains/medium/67'],['https://mediadive.dsmz.de/pdf/67']
68,DSMZ,HALOTHIOBACILLUS NEAPOLITANUS MEDIUM,https://mediadive.dsmz.de/medium/68,['defined'],6.6 - 7.0,['Bacteria'],['3'],['https://mediadive.dsmz.de/strains/medium/68'],['https://mediadive.dsmz.de/pdf/68']
69,DSMZ,STARKEYA NOVELLA MEDIUM,https://mediadive.dsmz.de/medium/69,['complex'],8.5,['Bacteria'],['2'],['https://mediadive.dsmz.de/strains/medium/69'],['https://mediadive.dsmz.de/pdf/69']
70,DSMZ,ACIDITHIOBACILLUS FERROOXIDANS MEDIUM,https://mediadive.dsmz.de/medium/70,['defined'],1.8,['Bacteria'],['1'],['https://mediadive.dsmz.de/strains/medium/70'],['https://mediadive.dsmz.de/pdf/70']
71,DSMZ,ACIDITHIOBACILLUS THIOOXIDANS MEDIUM,https://mediadive.dsmz.de/medium/71,['defined'],4.4 - 4.7,['Bacteria'],['6'],['https://mediadive.dsmz.de/strains/medium/71'],['https://mediadive.dsmz.de/pdf/71']
73,DSMZ,MEDIUM FOR HALOPHILIC BACILLI,https://mediadive.dsmz.de/medium/73,['complex'],7.0,['Bacteria'],['1'],['https://mediadive.dsmz.de/strains/medium/73'],['https://mediadive.dsmz.de/pdf/73']
74,DSMZ,THERMUS THERMOPHILUS MEDIUM,https://mediadive.dsmz.de/medium/74,['complex'],7.0,['Bacteria'],['3'],['https://mediadive.dsmz.de/strains/medium/74'],['https://mediadive.dsmz.de/pdf/74']
75,DSMZ,TRYPTICASE PHYTONE MEDIUM,https://mediadive.dsmz.de/medium/75,['complex'],7.3,['Bacteria'],['2'],['https://mediadive.dsmz.de/strains/medium/75'],['https://mediadive.dsmz.de/pdf/75']
76,DSMZ,GOTTSCHALKIA MEDIUM,https://mediadive.dsmz.de/medium/76,['complex'],7.0 - 7.5,['Bacteria'],['14'],['https://mediadive.dsmz.de/strains/medium/76'],['https://mediadive.dsmz.de/pdf/76']
77,DSMZ,LIVER BROTH (Oxoid CM 77),https://mediadive.dsmz.de/medium/77,['complex'],,['Bacteria'],['7'],['https://mediadive.dsmz.de/strains/medium/77'],['https://mediadive.dsmz.de/pdf/77']
78,DSMZ,CHOPPED MEAT MEDIUM,https://mediadive.dsmz.de/medium/78,['complex'],7.0,['Bacteria'],['267'],['https://mediadive.dsmz.de/strains/medium/78'],['https://mediadive.dsmz.de/pdf/78']
78a,DSMZ,CHOPPED MEAT MEDIUM FOR TREPONEMA SP.,https://mediadive.dsmz.de/medium/78a,['complex'],,['Bacteria'],['1'],['https://mediadive.dsmz.de/strains/medium/78a'],['https://mediadive.dsmz.de/pdf/78a']
78b,DSMZ,CHOPPED MEAT MEDIUM (N2/CO2),https://mediadive.dsmz.de/medium/78b,['complex'],7.0,['Bacteria'],['1'],['https://mediadive.dsmz.de/strains/medium/78b'],['https://mediadive.dsmz.de/pdf/78b']
78c,DSMZ,CHOPPED MEAT MEDIUM FOR FRETIBACTERIUM SP.,https://mediadive.dsmz.de/medium/78c,['complex'],7.0,['Bacteria'],['1'],['https://mediadive.dsmz.de/strains/medium/78c'],['https://mediadive.dsmz.de/pdf/78c']
78d,DSMZ,MEDIUM FOR TREPONEMA PARVUM,https://mediadive.dsmz.de/medium/78d,['complex'],7.0,[],[],[],['https://mediadive.dsmz.de/pdf/78d']
79,DSMZ,LEUCOTHRIX MEDIUM,https://mediadive.dsmz.de/medium/79,['complex'],7.8,['Bacteria'],['2'],['https://mediadive.dsmz.de/strains/medium/79'],['https://mediadive.dsmz.de/pdf/79']
80,DSMZ,GLYCEROL-SOIL MEDIUM,https://mediadive.dsmz.de/medium/80,['complex'],7.0,['Bacteria'],['14'],['https://mediadive.dsmz.de/strains/medium/80'],['https://mediadive.dsmz.de/pdf/80']
81,DSMZ,MINERAL MEDIUM FOR CHEMOLITHOTROPHIC GROWTH (H-3),https://mediadive.dsmz.de/medium/81,['defined'],6.8,['Bacteria'],['123'],['https://mediadive.dsmz.de/strains/medium/81'],['https://mediadive.dsmz.de/pdf/81']
81a,DSMZ,THIOMONAS ISLANDICA MEDIUM,https://mediadive.dsmz.de/medium/81a,['defined'],5.0,['Bacteria'],['1'],['https://mediadive.dsmz.de/strains/medium/81a'],['https://mediadive.dsmz.de/pdf/81a']
82,DSMZ,BHI-GLUCOSE MEDIUM,https://mediadive.dsmz.de/medium/82,['complex'],,['Bacteria'],['15'],['https://mediadive.dsmz.de/strains/medium/82'],['https://mediadive.dsmz.de/pdf/82']
83,DSMZ,CZAPEK PEPTONE AGAR,https://mediadive.dsmz.de/medium/83,['complex'],7.3,['Bacteria'],['164'],['https://mediadive.dsmz.de/strains/medium/83'],['https://mediadive.dsmz.de/pdf/83']
84,DSMZ,ROLLED OATS MINERAL MEDIUM,https://mediadive.dsmz.de/medium/84,['complex'],7.2,['Bacteria'],['1489'],['https://mediadive.dsmz.de/strains/medium/84'],['https://mediadive.dsmz.de/pdf/84']
85,DSMZ,GLUCOSE PEPTONE MEDIUM,https://mediadive.dsmz.de/medium/85,['complex'],6.0,"['Yeast', 'Bacteria']",['11'],['https://mediadive.dsmz.de/strains/medium/85'],['https://mediadive.dsmz.de/pdf/85']
86,DSMZ,CASTENHOLZ MEDIUM,https://mediadive.dsmz.de/medium/86,['complex'],8.2,['Bacteria'],['13'],['https://mediadive.dsmz.de/strains/medium/86'],['https://mediadive.dsmz.de/pdf/86']
86a,DSMZ,MODIFIED CASTENHOLZ MEDIUM,https://mediadive.dsmz.de/medium/86a,['complex'],7.8,['Bacteria'],['3'],['https://mediadive.dsmz.de/strains/medium/86a'],['https://mediadive.dsmz.de/pdf/86a']
87,DSMZ,CHLOROFLEXUS MEDIUM (modified),https://mediadive.dsmz.de/medium/87,['complex'],8.2,['Bacteria'],['4'],['https://mediadive.dsmz.de/strains/medium/87'],['https://mediadive.dsmz.de/pdf/87']
87a,DSMZ,CHLOROFLEXUS AGGREGANS MEDIUM,https://mediadive.dsmz.de/medium/87a,['complex'],8.2,['Bacteria'],['3'],['https://mediadive.dsmz.de/strains/medium/87a'],['https://mediadive.dsmz.de/pdf/87a']
88,DSMZ,SULFOLOBUS MEDIUM,https://mediadive.dsmz.de/medium/88,['complex'],2.0,"['Archaea', 'Bacteria']",['18'],['https://mediadive.dsmz.de/strains/medium/88'],['https://mediadive.dsmz.de/pdf/88']
88a,DSMZ,SULFOLOBUS MEDIUM (ANAEROBIC),https://mediadive.dsmz.de/medium/88a,['complex'],4.0,['Archaea'],['4'],['https://mediadive.dsmz.de/strains/medium/88a'],['https://mediadive.dsmz.de/pdf/88a']
88b,DSMZ,V24N MEDIUM,https://mediadive.dsmz.de/medium/88b,['complex'],6.0,['Archaea'],['1'],['https://mediadive.dsmz.de/strains/medium/88b'],['https://mediadive.dsmz.de/pdf/88b']
88c,DSMZ,ZESTOSPHAERA MEDIUM,https://mediadive.dsmz.de/medium/88c,['complex'],6.0,['Archaea'],['1'],['https://mediadive.dsmz.de/strains/medium/88c'],['https://mediadive.dsmz.de/pdf/88c']
90,DSMZ,MALT EXTRACT PEPTONE AGAR,https://mediadive.dsmz.de/medium/90,['complex'],5.6,"['Fungi', 'Yeast']",['1049'],['https://mediadive.dsmz.de/strains/medium/90'],['https://mediadive.dsmz.de/pdf/90']
91,DSMZ,PROPIONIBACTERIUM AGAR,https://mediadive.dsmz.de/medium/91,['complex'],7.0 - 7.2,['Bacteria'],['11'],['https://mediadive.dsmz.de/strains/medium/91'],['https://mediadive.dsmz.de/pdf/91']
92,DSMZ,TRYPTICASE SOY YEAST EXTRACT MEDIUM,https://mediadive.dsmz.de/medium/92,['complex'],7.0 - 7.2,"['Bacteria', 'Phages']",['2797'],['https://mediadive.dsmz.de/strains/medium/92'],['https://mediadive.dsmz.de/pdf/92']
92a,DSMZ,MODIFIED MEDIUM 92,https://mediadive.dsmz.de/medium/92a,['complex'],,['Bacteria'],['1'],['https://mediadive.dsmz.de/strains/medium/92a'],['https://mediadive.dsmz.de/pdf/92a']
93,DSMZ,LACTOBACILLUS MEDIUM II,https://mediadive.dsmz.de/medium/93,['complex'],5.2,['Bacteria'],['6'],['https://mediadive.dsmz.de/strains/medium/93'],['https://mediadive.dsmz.de/pdf/93']
95,DSMZ,DESULFUROMONAS ACETOXIDANS MEDIUM,https://mediadive.dsmz.de/medium/95,['complex'],7.2,['Bacteria'],['3'],['https://mediadive.dsmz.de/strains/medium/95'],['https://mediadive.dsmz.de/pdf/95']
97,DSMZ,HALOBACTERIUM MEDIUM,https://mediadive.dsmz.de/medium/97,['complex'],7.4,['Archaea'],['19'],['https://mediadive.dsmz.de/strains/medium/97'],['https://mediadive.dsmz.de/pdf/97']
98,DSMZ,RHIZOBIUM MEDIUM,https://mediadive.dsmz.de/medium/98,['complex'],7.0,['Bacteria'],['150'],['https://mediadive.dsmz.de/strains/medium/98'],['https://mediadive.dsmz.de/pdf/98']
101,DSMZ,NUTRIENT AGAR or BROTH WITH NaCl,https://mediadive.dsmz.de/medium/101,['complex'],,['Bacteria'],['7'],['https://mediadive.dsmz.de/strains/medium/101'],['https://mediadive.dsmz.de/pdf/101']
102,DSMZ,FLAVOBACTERIUM AQUATILE MEDIUM,https://mediadive.dsmz.de/medium/102,['complex'],7.4,[],[],[],['https://mediadive.dsmz.de/pdf/102']
104,DSMZ,PYG MEDIUM (modified),https://mediadive.dsmz.de/medium/104,['complex'],7.2,['Bacteria'],['475'],['https://mediadive.dsmz.de/strains/medium/104'],['https://mediadive.dsmz.de/pdf/104']
104a,DSMZ,ANAEROBACULUM MEDIUM,https://mediadive.dsmz.de/medium/104a,['complex'],7.0,['Bacteria'],['3'],['https://mediadive.dsmz.de/strains/medium/104a'],['https://mediadive.dsmz.de/pdf/104a']
104b,DSMZ,PY + X MEDIUM,https://mediadive.dsmz.de/medium/104b,['complex'],6.8 - 7.0,['Bacteria'],['128'],['https://mediadive.dsmz.de/strains/medium/104b'],['https://mediadive.dsmz.de/pdf/104b']
104c,DSMZ,PY + X MEDIUM (N2/CO2),https://mediadive.dsmz.de/medium/104c,['complex'],7.0,['Bacteria'],['97'],['https://mediadive.dsmz.de/strains/medium/104c'],['https://mediadive.dsmz.de/pdf/104c']
104d,DSMZ,MALEDIVIBACTER MEDIUM,https://mediadive.dsmz.de/medium/104d,['complex'],7.3 - 7.5,['Bacteria'],['1'],['https://mediadive.dsmz.de/strains/medium/104d'],['https://mediadive.dsmz.de/pdf/104d']
105,DSMZ,GLUCONOBACTER OXYDANS MEDIUM,https://mediadive.dsmz.de/medium/105,['complex'],6.8,['Bacteria'],['40'],['https://mediadive.dsmz.de/strains/medium/105'],['https://mediadive.dsmz.de/pdf/105']
108,DSMZ,ACIDIPHILIUM ACIDOPHILUM MEDIUM,https://mediadive.dsmz.de/medium/108,['defined'],4.5,['Bacteria'],['1'],['https://mediadive.dsmz.de/strains/medium/108'],['https://mediadive.dsmz.de/pdf/108']
109,DSMZ,RHODOPSEUDOMONAS SULFOVIRIDIS MEDIUM,https://mediadive.dsmz.de/medium/109,['complex'],6.8,['Bacteria'],['2'],['https://mediadive.dsmz.de/strains/medium/109'],['https://mediadive.dsmz.de/pdf/109']
110,DSMZ,CHOPPED MEAT MEDIUM WITH CARBOHYDRATES,https://mediadive.dsmz.de/medium/110,['complex'],7.0,['Bacteria'],['244'],['https://mediadive.dsmz.de/strains/medium/110'],['https://mediadive.dsmz.de/pdf/110']
110a,DSMZ,CMC MEDIUM (N2/CO2),https://mediadive.dsmz.de/medium/110a,['complex'],7.0,['Bacteria'],['48'],['https://mediadive.dsmz.de/strains/medium/110a'],['https://mediadive.dsmz.de/pdf/110a']
111,DSMZ,BEIJERINCKIA MEDIUM,https://mediadive.dsmz.de/medium/111,['defined'],6.5,['Bacteria'],['13'],['https://mediadive.dsmz.de/strains/medium/111'],['https://mediadive.dsmz.de/pdf/111']
113,DSMZ,THIOBACILLUS DENITRIFICANS MEDIUM,https://mediadive.dsmz.de/medium/113,['defined'],7.0 - 7.2,['Bacteria'],['5'],['https://mediadive.dsmz.de/strains/medium/113'],['https://mediadive.dsmz.de/pdf/113']
113a,DSMZ,SULFURIMONAS HONGKONGENSIS MEDIUM,https://mediadive.dsmz.de/medium/113a,['defined'],7.0 - 7.2,['Bacteria'],['1'],['https://mediadive.dsmz.de/strains/medium/113a'],['https://mediadive.dsmz.de/pdf/113a']
114,DSMZ,PARACOCCUS HALODENITRIFICANS MEDIUM,https://mediadive.dsmz.de/medium/114,['complex'],7.0,['Bacteria'],['1'],['https://mediadive.dsmz.de/strains/medium/114'],['https://mediadive.dsmz.de/pdf/114']
115,DSMZ,VIBRIO NATRIEGENS MEDIUM,https://mediadive.dsmz.de/medium/115,['complex'],7.0,['Bacteria'],['19'],['https://mediadive.dsmz.de/strains/medium/115'],['https://mediadive.dsmz.de/pdf/115']
115a,DSMZ,REACTIVATION WITH LIQUID MEDIUM 115,https://mediadive.dsmz.de/medium/115a,['complex'],,['Bacteria'],['2'],['https://mediadive.dsmz.de/strains/medium/115a'],['https://mediadive.dsmz.de/pdf/115a']
118,DSMZ,DAP-NUTRIENT AGAR,https://mediadive.dsmz.de/medium/118,['complex'],7.0,['Bacteria'],['1'],['https://mediadive.dsmz.de/strains/medium/118'],['https://mediadive.dsmz.de/pdf/118']
119,DSMZ,METHANOBACTERIUM MEDIUM,https://mediadive.dsmz.de/medium/119,['complex'],6.8 - 7.0,"['Archaea', 'Bacteria']",['80'],['https://mediadive.dsmz.de/strains/medium/119'],['https://mediadive.dsmz.de/pdf/119']
119a,DSMZ,METHANOBREVIBACTER MEDIUM,https://mediadive.dsmz.de/medium/119a,['complex'],6.8 - 7.0,['Archaea'],['1'],['https://mediadive.dsmz.de/strains/medium/119a'],['https://mediadive.dsmz.de/pdf/119a']
119b,DSMZ,METHANOMASSILIICOCCUS MEDIUM,https://mediadive.dsmz.de/medium/119b,['complex'],7.6,['Archaea'],['1'],['https://mediadive.dsmz.de/strains/medium/119b'],['https://mediadive.dsmz.de/pdf/119b']
119c,DSMZ,GUDONGELLA MEDIUM,https://mediadive.dsmz.de/medium/119c,['complex'],6.8 - 7.0,['Bacteria'],['1'],['https://mediadive.dsmz.de/strains/medium/119c'],['https://mediadive.dsmz.de/pdf/119c']
120,DSMZ,METHANOSARCINA MEDIUM,https://mediadive.dsmz.de/medium/120,['complex'],6.8 - 7.0,['Archaea'],['25'],['https://mediadive.dsmz.de/strains/medium/120'],['https://mediadive.dsmz.de/pdf/120']
