Name,Name Link,ChEBI-ID,ChEBI-ID Link,CAS Registry NumberⓇ,CAS Registry NumberⓇ Link,Formula,Mass,ID,PubChem CID,GESTIS ZVG-Nr.,group,Other ingredients from the group,kegg_id,density,Synonym,Used attributes,Found in,solutions list link,media list link,identifiers
CuCl2x 2 H2O,https://mediadive.dsmz.de/ingredients/39?p=2,86318,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:86318,10125-13-0,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=10125-13-0,Cl2CuH4O2,170.483,C39,,2470,CuCl2,"['CuCl2', 'CuCl2 x H2O', 'CuCl2 x 5 H2O', 'CuCl2 x 6 H2O']",,,"['copper dichloride--water (1/2)', 'copper(2+) dichloride --water (1/2)', 'copper(II) chloride--water (1/2)', 'copper(II) chloride.2H2O', 'Coppertrace', 'CuCl2.2H2O', 'cupric chloride dihydrate', 'cupric chloride.2H2O', 'eriochalcite']",,"['158 solutions', '827 media']",https://mediadive.dsmz.de/solution-finder/CuCl2+x+2+H2O///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/CuCl2+x+2+H2O///,"{""CAS Registry Number\u00ae"": {""text"": ""10125-13-0"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=10125-13-0""}, ""ChEBI"": {""text"": ""86318"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:86318""}, ""GESTIS ZVG-Nr."": {""text"": ""2470"", ""href"": ""https://gestis.dguv.de/data?name=002470""}}"
NiCl2x 6 H2O,https://mediadive.dsmz.de/ingredients/40?p=2,34887,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:34887,7718-54-9,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=7718-54-9,Cl2Ni,129.599,C40,,3300,NiCl2,"['NiCl2 x 2 H2O', 'NiCl2', 'NiCl2 x H2O', 'NiCl2 x 5 H2O']",C14711,,"['Nickel chloride', 'nickel dichloride', 'nickel(2+) chloride', 'Nickel(II) chloride', 'nickelous chloride', 'NiCl2', '[NiCl2]']","['0.1% w/v (27×)', '0.2 g/L in 0.01 N H2SO4 (1×)']","['252 solutions', '1119 media']",https://mediadive.dsmz.de/solution-finder/NiCl2+x+6+H2O///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/NiCl2+x+6+H2O///,"{""CAS Registry Number\u00ae"": {""text"": ""7718-54-9"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=7718-54-9""}, ""ChEBI"": {""text"": ""34887"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:34887""}, ""KEGG"": {""text"": ""C14711"", ""href"": ""https://www.genome.jp/dbget-bin/www_bget?cpd:C14711""}, ""GESTIS ZVG-Nr."": {""text"": ""3300"", ""href"": ""https://gestis.dguv.de/data?name=003300""}}"
Na-gluconate,https://mediadive.dsmz.de/ingredients/41?p=2,84997,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:84997,527-07-1,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=527-07-1,C6H11NaO7,218.137,C41,,35300,Na-gluconate,"['Sodium gluconate', 'Na gluconate']",,,"['D-Gluconic acid, monosodium salt', 'Gluconic acid sodium salt', 'Monosodium D-gluconate', 'Monosodium gluconate', 'sodium (2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanoate', 'sodium D-gluconate', 'Sodium gluconate']",,"['2 solutions', '3 media']",https://mediadive.dsmz.de/solution-finder/Na-gluconate///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Na-gluconate///,"{""CAS Registry Number\u00ae"": {""text"": ""527-07-1"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=527-07-1""}, ""ChEBI"": {""text"": ""84997"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:84997""}, ""GESTIS ZVG-Nr."": {""text"": ""35300"", ""href"": ""https://gestis.dguv.de/data?name=035300""}}"
NH4Cl,https://mediadive.dsmz.de/ingredients/42?p=2,31206,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:31206,12125-02-9,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=12125-02-9,ClH4N,53.49,C42,25517,1460,NH4Cl,['Ammonium chloride'],C12538,1.5274,"['Ammonium chloride', 'Ammonium muriate', 'Ammoniumchlorid', 'azanium chloride', 'Increase the NH4Cl to', 'NH4CI', 'NH4Cl -', 'NH4Cl2', 'Sal ammoniac', '[NH4]Cl']","['1 M (5×)', '1M (3×)', '2.67 g/100 ml stock solution (2×)', '4 M (2×)', '50 mM (1×)', '10% (1×)', '1 N (1×)', '100 mM (1×)', '53.5 g/l stock solution (1×)', '2M in H2O (1×)', '2.68 g/l stock solution (1×)', '0.1% w/v (1×)', '2 M in water, autoclaved (1×)', '1 M - 53.5 g/l (1×)', '2M in water (1×)', '0.4M (1×)', '2M in water, autoklaved (1×)', '*, 1 M (1×)', '1% (1×)', '2 M (1×)']","['1147 solutions', '1113 media']",https://mediadive.dsmz.de/solution-finder/NH4Cl///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/NH4Cl///,"{""CAS Registry Number\u00ae"": {""text"": ""12125-02-9"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=12125-02-9""}, ""PubChem CID"": {""text"": ""25517"", ""href"": ""https://pubchem.ncbi.nlm.nih.gov/compound/25517""}, ""ChEBI"": {""text"": ""31206"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:31206""}, ""KEGG"": {""text"": ""C12538"", ""href"": ""https://www.genome.jp/dbget-bin/www_bget?cpd:C12538""}, ""GESTIS ZVG-Nr."": {""text"": ""1460"", ""href"": ""https://gestis.dguv.de/data?name=001460""}}"
NaCl,https://mediadive.dsmz.de/ingredients/43?p=2,26710,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:26710,7647-14-5,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=7647-14-5,ClNa,58.44,C43,5234,1330,NaCl,"['Sea Salt', 'Sodium Chloride']",C13563,,"['chlorure de sodium', 'cloruro sodico', 'common salt', 'Compound solution of sodium chloride', 'halite', 'Kochsalz', 'NaCl 100 -', 'NaCl 150-', 'NaCl 20-', 'NaCl 30.0-', 'NaCl 5%', 'natrii chloridum', 'Natriumchlorid', 'rock salt', 'salt', 'sodium chloride', 'table salt']","['250 g/l stock solution (9×)', '2.5 g/l stock solution (5×)', '1 g/400 ml stock solution (2×)', 'for Arhodomonas (1×)', 'for Marinobacter (1×)', '10% (1×)', '2%, in distilled water (1×)', '20% (1×)', '2 %, in distilled water (1×)', '2 % (1×)', '2 g/100 ml stock solution (1×)', '5 % (1×)']","['1687 solutions', '1877 media']",https://mediadive.dsmz.de/solution-finder/NaCl///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/NaCl///,"{""CAS Registry Number\u00ae"": {""text"": ""7647-14-5"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=7647-14-5""}, ""PubChem CID"": {""text"": ""5234"", ""href"": ""https://pubchem.ncbi.nlm.nih.gov/compound/5234""}, ""ChEBI"": {""text"": ""26710"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:26710""}, ""KEGG"": {""text"": ""C13563"", ""href"": ""https://www.genome.jp/dbget-bin/www_bget?cpd:C13563""}, ""MetaCyc"": {""text"": ""NACL"", ""href"": ""https://metacyc.org/compound?orgid=META&id=NACL""}, ""GESTIS ZVG-Nr."": {""text"": ""1330"", ""href"": ""https://gestis.dguv.de/data?name=001330""}}"
Fe(III) citrate,https://mediadive.dsmz.de/ingredients/45?p=2,144421,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:144421,3522-50-7,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=3522-50-7,C6H8O7.Fe,244.944,C45,,,,,,,"['Eisen(III)citrate', 'Fe (III)citrate', 'Fe -citrate', 'Fe citrate', 'Fe(III)-citrate', 'Fe(III)citrate', 'Fe-citrate', 'Ferric iron citrate']","['0.1% in H2O (4×)', '0.01 M (3×)', '0.1 g in 100 ml H2O (2×)', '1% (1×)', '5% (1×)', '1 g/l (1×)', '10% (1×)', '19% Fe (1×)', '0.1%, w/v (1×)']","['34 solutions', '34 media']",https://mediadive.dsmz.de/solution-finder/Fe%28III%29+citrate///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Fe%28III%29+citrate///,"{""CAS Registry Number\u00ae"": {""text"": ""3522-50-7"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=3522-50-7""}, ""ChEBI"": {""text"": ""144421"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:144421""}}"
Biotin,https://mediadive.dsmz.de/ingredients/46?p=2,15956,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15956,58-85-5,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=58-85-5,C10H16N2O3S,244.31,C46,171548,,Biotin,"['D-Biotin', 'Biotine', 'D-(+)-biotin']",C00120,,"['(+)-cis-Hexahydro-2-oxo-1H-thieno[3,4]imidazole-4-valeric acid', '(3aS,4S,6aR)-Hexahydro-2-oxo-1H-thieno[3,4-d]imidazole-4-valeric acid', '(3aS-(3aalpha,4b,6aalpha))-Hexahydro-2-oxo-1H-thieno(3,4-d)imidaz- ole-4-pentanoic acid', '1H-Thieno(3,4-d)imidazole-4-pentanoic acid, hexahydro-2-oxo-, (3aS-(3aalpha,4b,6aalpha))-', '5-(2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl)pentanoic acid', '5-[(3aS,4S,6aR)-2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl]pentanoic acid', 'biotina', 'biotine', 'biotinum', 'cis-(+)-Tetrahydro-2-oxothieno[3,4]imidazoline-4-valeric acid', 'cis-Hexahydro-2-oxo-1H-thieno(3,4)imidazole-4-valeric acid', 'cis-Tetrahydro-2-oxothieno(3,4-d)imidazoline-4-valeric acid', 'Coenzyme R', 'D-(+)-biotin', 'D-Biotin', 'vitamin B7', 'Vitamin H']","['0.01 g/100 ml stock solution (3×)', '0.1% w/v (1×)', '10 mg/l, autoclave for 10 minutes under N2 (1×)', '0,4ml from 500mg/100mL Stock (1×)', '1.0 mg/ml stock solution (1×)', '(1×)', '0.05 g/l stock solution (1×)', '0.005 g/100 ml stock solution (1×)', '0.1 mg/ml (1×)', '0.05 g/100 ml stock solution (1×)', '0.002% in H2O (1×)']","['179 solutions', '851 media']",https://mediadive.dsmz.de/solution-finder/Biotin///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Biotin///,"{""CAS Registry Number\u00ae"": {""text"": ""58-85-5"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=58-85-5""}, ""PubChem CID"": {""text"": ""171548"", ""href"": ""https://pubchem.ncbi.nlm.nih.gov/compound/171548""}, ""ChEBI"": {""text"": ""15956"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15956""}, ""KEGG"": {""text"": ""C00120"", ""href"": ""https://www.genome.jp/dbget-bin/www_bget?cpd:C00120""}, ""MetaCyc"": {""text"": ""BIOTIN"", ""href"": ""https://metacyc.org/compound?orgid=META&id=BIOTIN""}}"
p-Aminobenzoic acid,https://mediadive.dsmz.de/ingredients/47?p=3,30753,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30753,150-13-0,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=150-13-0,C7H7NO2,137.14,C47,978,18810,p-Aminobenzoic acid,"['Para-aminobenzoic acid', '4-Aminobenzoic Acid', 'PABA']",C00568,,"['1-Amino-4-carboxybenzene', '4-Amino-benzoic acid', '4-Aminobenzoesaeure', '4-Aminobenzoic acid', '4-Carboxyaniline', '4-Carboxyphenylamine', 'ABEE', 'Aminobenzoic acid', 'Benzoic acid, 4-amino-', 'gamma-Aminobenzoic acid', 'p- Aminobenzoic acid', 'p-Aminobenzoesaeure', 'P-Aminobenzoicacid', 'p-carboxyaniline', 'p-carboxyphenylamine', 'PABA', 'para-aminobenzoic acid']","['0.01% in H2O (1×)', '0.1% w/v (1×)', '2 mg/ml (1×)']","['117 solutions', '833 media']",https://mediadive.dsmz.de/solution-finder/p-Aminobenzoic+acid///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/p-Aminobenzoic+acid///,"{""CAS Registry Number\u00ae"": {""text"": ""150-13-0"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=150-13-0""}, ""PubChem CID"": {""text"": ""978"", ""href"": ""https://pubchem.ncbi.nlm.nih.gov/compound/978""}, ""ChEBI"": {""text"": ""30753"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30753""}, ""KEGG"": {""text"": ""C00568"", ""href"": ""https://www.genome.jp/dbget-bin/www_bget?cpd:C00568""}, ""GESTIS ZVG-Nr."": {""text"": ""18810"", ""href"": ""https://gestis.dguv.de/data?name=018810""}}"
Na2S x 9 H2O,https://mediadive.dsmz.de/ingredients/54?p=3,76209,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:76209,1313-84-4,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=1313-84-4,H18Na2O9S,240.182,C54,,1390,Na2S,"['Na2S', 'Na2S x H2O']",,,"['disodium sulfide nonahydrate', 'disodium sulfide--water (1/9)', 'Either Na2S x 9 H2O', 'Na2S 9 H2O', 'Na2S x 9 H2O 0.05 ml/', 'Na2S x 9 H2O 10 µl/', 'Na2S x 9 H2O 1M', 'Na2S x 9 H2O(24% w/v)', 'Na2S x 9H2O(final conc.)', 'Na2S.9H2O', 'NaS2 x 9 H2O', 'sodium monosulfide nonahydrate', 'sodium monosulfide.9H2O', 'Sodium sulfide (USP)', 'sodium sulfide.9H2O']","['5% (167×)', '3% (14×)', '2% (6×)', 'final conc. (3×)', '3% w/v (3×)', '5.0% (2×)', 'neutralized, 3% (2×)', '1 M (2×)', 'w/v, 3% (2×)', 'pH 7.0, 5% (2×)', '6.0 g in 100 ml H2O (1×)', '5% solution in water, autoclaved (1×)', '10% (1×)', '*, 5% (1×)', 'from neutralized stock solution, pH 7 (1×)', 'from neutralized stock solution (1×)', '10% in water, pH7 (1×)', '2% w/v (1×)', '24% (1×)', '24% w/v (1×)', '1M (1×)', 'pH 7.5, 5% (1×)', '2% v/v (1×)', '10%, w/v (1×)', '*, 4 mM (1×)', 'w/v, 5% (1×)', '10% v/v (1×)', 'neutralized, 5% (1×)', 'autoclaved, 5% (1×)', 'final concentration (1×)', '3%(w/v), pH 7.0 (1×)', 'adjusted pH to 7.0, 5% (1×)', '(1×)', '1M in water, autoclaved (1×)', '0.5 M (1×)', '5% solution in water (1×)']","['790 solutions', '776 media']",https://mediadive.dsmz.de/solution-finder/Na2S+x+9+H2O///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Na2S+x+9+H2O///,"{""CAS Registry Number\u00ae"": {""text"": ""1313-84-4"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=1313-84-4""}, ""ChEBI"": {""text"": ""76209"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:76209""}, ""GESTIS ZVG-Nr."": {""text"": ""1390"", ""href"": ""https://gestis.dguv.de/data?name=001390""}}"
NaHCO3,https://mediadive.dsmz.de/ingredients/55?p=3,32139,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:32139,144-55-8,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=144-55-8,CHNaO3,84.007,C55,516892,2440,,,C12603,,"['baking soda', 'bicarbonate of soda', 'carbonic acid monosodium salt', 'Carbonic acid, monosodium salt', 'E 500', 'E-500', 'E500', 'NaHCO3 (10% w/v )', 'NaHCO3 (8% )', 'NaHCO3 0.2 ml /', 'NaHCO3 150 µl/', 'NaHCO3 2,', 'NaHCO3 add', 'NaHCO3 final concentration', 'NaHCO3 solution', 'Natriumhydrogenkarbonat', 'sodium acid carbonate', 'Sodium bicarbonate', 'sodium hydrogen carbonate', 'sodium hydrogencarbonate']","['*, 8% (97×)', '8% (40×)', '5% (12×)', '*, 5% (7×)', '10% (6×)', '10%, w/v (6×)', '*, 1 M (5×)', '52.5 g/l stock solution (4×)', '3.18 g/200 ml stock solution (4×)', 'filter-sterilized, 8% (4×)', '5% w/v (4×)', '10% w/v (3×)', '*, 8.0% (3×)', 'for top layer (3×)', '**, 8% (2×)', '10% w/v; sterile (2×)', '1M in H2O (2×)', '8.0% (2×)', '8 % (2×)', 'w/v, *, 10% (2×)', '10 mM (2×)', '*, 1.0 M (1×)', '84 g/l autoclaved under a CO2 atmopshere (1×)', 'Sigma (1×)', '2 M (1×)', '20% (1×)', '10% (w/v) (1×)', '3% (1×)', '10 % (1×)', '1M (1×)', '*, 8.5% (1×)', 'filter-sterilized, 5% (1×)', '10.0% w/v soln (1×)', '*, 7% (1×)', 'or 10 mL of a 6.25% solution in water (1×)', '84.0 g/l (1×)', '8.5% (1×)', '0.4 g/100 ml stock solution (1×)', '10.0% w/v (1×)', '1.26 g/100 ml stock solution (1×)', '8% solution (1×)', 'w/v, *, 8.0% (1×)', '3% in water, autoclaved (1×)', '31.5 g/l stock solution (1×)', '84 g/l, autoclaved under CO2 (1×)', '1 M (1×)', '5.0 g in 100 ml H2O (1×)', '5%, w/v (1×)', '5 % in H2O (1×)', '7.5% (1×)']","['840 solutions', '812 media']",https://mediadive.dsmz.de/solution-finder/NaHCO3///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/NaHCO3///,"{""CAS Registry Number\u00ae"": {""text"": ""144-55-8"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=144-55-8""}, ""PubChem CID"": {""text"": ""516892"", ""href"": ""https://pubchem.ncbi.nlm.nih.gov/compound/516892""}, ""ChEBI"": {""text"": ""32139"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:32139""}, ""KEGG"": {""text"": ""C12603"", ""href"": ""https://www.genome.jp/dbget-bin/www_bget?cpd:C12603""}, ""GESTIS ZVG-Nr."": {""text"": ""2440"", ""href"": ""https://gestis.dguv.de/data?name=002440""}}"
H2O,https://mediadive.dsmz.de/ingredients/56?p=3,15377,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15377,7732-18-5,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=7732-18-5,H2O,18.0153,C56,962,1140,Distilled water,"['Distilled water', 'Deionized water', 'Water']",C00001,1.00293,"['acqua', 'agua', 'aqua', 'BOUND WATER', 'Deionized water', 'dihydridooxygen', 'dihydrogen oxide', 'Distilled water', 'eau', 'HOH', 'hydrogen hydroxide', 'oxidane', 'Purified water', 'Wasser', 'Water', '[OH2]']",['deionized (2×)'],"['17 solutions', '24 media']",https://mediadive.dsmz.de/solution-finder/H2O///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/H2O///,"{""CAS Registry Number\u00ae"": {""text"": ""7732-18-5"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=7732-18-5""}, ""PubChem CID"": {""text"": ""962"", ""href"": ""https://pubchem.ncbi.nlm.nih.gov/compound/962""}, ""ChEBI"": {""text"": ""15377"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15377""}, ""KEGG"": {""text"": ""C00001"", ""href"": ""https://www.genome.jp/dbget-bin/www_bget?cpd:C00001""}, ""MetaCyc"": {""text"": ""WATER"", ""href"": ""https://metacyc.org/compound?orgid=META&id=WATER""}, ""GESTIS ZVG-Nr."": {""text"": ""1140"", ""href"": ""https://gestis.dguv.de/data?name=001140""}}"
Ammonium chloride,https://mediadive.dsmz.de/ingredients/57?p=3,31206,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:31206,12125-02-9,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=12125-02-9,ClH4N,53.49,C57,25517,1460,NH4Cl,['NH4Cl'],C12538,1.5274,"['Ammonium muriate', 'Ammoniumchlorid', 'azanium chloride', 'NH4Cl', 'Sal ammoniac', '[NH4]Cl']",,"['4 solutions', '15 media']",https://mediadive.dsmz.de/solution-finder/Ammonium+chloride///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Ammonium+chloride///,"{""CAS Registry Number\u00ae"": {""text"": ""12125-02-9"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=12125-02-9""}, ""PubChem CID"": {""text"": ""25517"", ""href"": ""https://pubchem.ncbi.nlm.nih.gov/compound/25517""}, ""ChEBI"": {""text"": ""31206"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:31206""}, ""KEGG"": {""text"": ""C12538"", ""href"": ""https://www.genome.jp/dbget-bin/www_bget?cpd:C12538""}, ""GESTIS ZVG-Nr."": {""text"": ""1460"", ""href"": ""https://gestis.dguv.de/data?name=001460""}}"
Ammonium acetate,https://mediadive.dsmz.de/ingredients/58?p=3,62947,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:62947,631-61-8,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=631-61-8,C2H7NO2,77.08,C58,517165,491337,,,,1.17,"['(NH4)-acetate', '1BEEM', 'acetic acid, ammonium salt', 'Acetic acid, ammonium salt (1:1)', 'AcONH4', 'Ammonium acetate solution', 'ammonium ethanoate', 'azanium acetate', 'CH3CO2NH4', 'CH3COONH4', 'E 264', 'E-264', 'E264', 'INS No. 264', 'Mindererus spirit', ""Mindererus's spirit"", 'NH4OAc', 'Spirit of mindereus']",,"['11 solutions', '19 media']",https://mediadive.dsmz.de/solution-finder/Ammonium+acetate///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Ammonium+acetate///,"{""CAS Registry Number\u00ae"": {""text"": ""631-61-8"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=631-61-8""}, ""PubChem CID"": {""text"": ""517165"", ""href"": ""https://pubchem.ncbi.nlm.nih.gov/compound/517165""}, ""ChEBI"": {""text"": ""62947"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:62947""}, ""GESTIS ZVG-Nr."": {""text"": ""491337"", ""href"": ""https://gestis.dguv.de/data?name=491337""}}"
Pyruvic acid sodium salt,https://mediadive.dsmz.de/ingredients/59?p=3,113246,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:113246,113-24-6,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=113-24-6,C3H3NaO3,110.04,C59,23662274,,Pyruvic acid sodium salt,"['Na-pyruvate', 'Sodium pyruvate', 'Na pyruvate']",,,['Sodium pyruvate'],,"['4 solutions', '14 media']",https://mediadive.dsmz.de/solution-finder/Pyruvic+acid+sodium+salt///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Pyruvic+acid+sodium+salt///,"{""CAS Registry Number\u00ae"": {""text"": ""113-24-6"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=113-24-6""}, ""PubChem CID"": {""text"": ""23662274"", ""href"": ""https://pubchem.ncbi.nlm.nih.gov/compound/23662274""}, ""ChEBI"": {""text"": ""113246"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:113246""}}"
Dextrose,https://mediadive.dsmz.de/ingredients/60?p=3,4167,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:4167,2280-44-6,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=2280-44-6,C6H14O7,198.17,C60,66370,,,,C00031,,"['D-Glc', 'D-Glcp', 'D-glucopyranose', 'D-Glucose', 'Glc-OH', 'glucose', 'Grape sugar']",['Difco (3×)'],"['15 solutions', '25 media']",https://mediadive.dsmz.de/solution-finder/Dextrose///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Dextrose///,"{""CAS Registry Number\u00ae"": {""text"": ""2280-44-6"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=2280-44-6""}, ""PubChem CID"": {""text"": ""66370"", ""href"": ""https://pubchem.ncbi.nlm.nih.gov/compound/66370""}, ""ChEBI"": {""text"": ""4167"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:4167""}, ""KEGG"": {""text"": ""C00031"", ""href"": ""https://www.genome.jp/dbget-bin/www_bget?cpd:C00031""}, ""MetaCyc"": {""text"": ""D-Glucose"", ""href"": ""https://metacyc.org/compound?orgid=META&id=D-Glucose""}}"
KCl,https://mediadive.dsmz.de/ingredients/61?p=3,32588,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:32588,7447-40-7,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=7447-40-7,ClK,74.55,C61,4873,2200,,,,,"['Kaliumchlorid', 'Kaon-Cl 10', 'Klor-con', 'Klotrix', 'Monopotassium chloride', 'muriate of potash', 'potassium chloride', 'sylvite', '[KCl]']","['50 g/l stock solution (8×)', '0.1% w/v (2×)', '6 g/100 ml stock solution (2×)', '0.08 g/100 ml stock solution (1×)', '3 g/l stock solution (1×)', '2.6 g/100 ml stock solution (1×)', '100 g/l (1×)']","['989 solutions', '997 media']",https://mediadive.dsmz.de/solution-finder/KCl///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/KCl///,"{""CAS Registry Number\u00ae"": {""text"": ""7447-40-7"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=7447-40-7""}, ""PubChem CID"": {""text"": ""4873"", ""href"": ""https://pubchem.ncbi.nlm.nih.gov/compound/4873""}, ""ChEBI"": {""text"": ""32588"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:32588""}, ""MetaCyc"": {""text"": ""KCL"", ""href"": ""https://metacyc.org/compound?orgid=META&id=KCL""}, ""GESTIS ZVG-Nr."": {""text"": ""2200"", ""href"": ""https://gestis.dguv.de/data?name=002200""}}"
MnCl2x 2 H2O,https://mediadive.dsmz.de/ingredients/63?p=3,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,20603-88-7,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=20603-88-7,Cl2Mn.2H2O,,C63,,,MnCl2,"['MnCl2 x 4 H2O', 'MnCl2', 'MnCl2 x 6 H2O']",,,,,"['9 solutions', '20 media']",https://mediadive.dsmz.de/solution-finder/MnCl2+x+2+H2O///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/MnCl2+x+2+H2O///,"{""CAS Registry Number\u00ae"": {""text"": ""20603-88-7"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=20603-88-7""}}"
