Organism Group,Name,Name Link,Taxonomy Link,Growth media,Growth Media Links,External Links,Synonyms,Growth Conditions
Bacterium,Cytobacillus firmus DSM 12,https://mediadive.dsmz.de/strains/view/DSM 12,https://mediadive.dsmz.de/taxonomy?level=species&item=Cytobacillus firmus,"['1*', 'J22']","['https://mediadive.dsmz.de/medium/1?strain=11', 'https://mediadive.dsmz.de/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-12', 'https://bacdive.dsmz.de/strain/675']","
        ATCC 14575, BCRC 11730, CCM 2213, CCUG 7418, CECT 14, CIP 52.70, , DSM 12, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-12, , IAM 12464, IAM 14179, IFO 15306, , JCM 2512, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=12, , KCTC 3626, LMG 7125, NBRC 15306, NCIB 9366, NCIMB 9366, NCTC 10335, NRRL B-14307, NRRL NRS-613, NRS 613, VKM B-498, VTT E-97061    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 12', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': 'J22: NUTRIENT AGAR NO. 2', 'media_link': '/medium/J22?ccno=DSM 12', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Bacterium,Bacillus licheniformis DSM 13,https://mediadive.dsmz.de/strains/view/DSM 13,https://mediadive.dsmz.de/taxonomy?level=species&item=Bacillus licheniformis,"['1', 'J22']","['https://mediadive.dsmz.de/medium/1', 'https://mediadive.dsmz.de/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-13', 'https://bacdive.dsmz.de/strain/689']","
        ATCC 14580, BCRC 11702, CCM 2145, CCUG 7422, CECT 20, CGMCC 1.3649, CIP 52.71, , DSM 13, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-13, , IAM 13417, IFO 12200, , JCM 2505, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=13, , KCTC 1753, KCTC 1918, LMG 6933, NBRC 12200, NCFB 1772, NCIB 9375, NCIMB 9375, NCTC 10341, NRRL NRS-1264, VKM B-511, WDCM 00068    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 13', 'growth_observed': 'Yes', 'growth_conditions': '37\xa0°C'}, {'media_title': 'J22: NUTRIENT AGAR NO. 2', 'media_link': '/medium/J22?ccno=DSM 13', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Bacterium,Bacillus sp. DSM 14,https://mediadive.dsmz.de/strains/view/DSM 14,https://mediadive.dsmz.de/taxonomy?level=species&item=Bacillus sp.,['1'],['https://mediadive.dsmz.de/medium/1'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-14', 'https://bacdive.dsmz.de/strain/865']","DSM 14, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-14","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 14', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}]"
Bacterium,Bacillus licheniformis DSM 15,https://mediadive.dsmz.de/strains/view/DSM 15,https://mediadive.dsmz.de/taxonomy?level=species&item=Bacillus licheniformis,['1'],['https://mediadive.dsmz.de/medium/1'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-15', 'https://bacdive.dsmz.de/strain/690']","DSM 15, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-15","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 15', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}]"
Bacterium,Geobacillus stearothermophilus DSM 22,https://mediadive.dsmz.de/strains/view/DSM 22,https://mediadive.dsmz.de/taxonomy?level=species&item=Geobacillus stearothermophilus,"['220', 'J22']","['https://mediadive.dsmz.de/medium/220', 'https://mediadive.dsmz.de/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-22', 'https://bacdive.dsmz.de/strain/1419']","
        ATCC 12980, BCRC 11092, CCM 2062, CCUG 26241, CIP 66.23, , DSM 22, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-22, , IAM 11062, IFO 12550, , JCM 2501, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=22, , KCTC 1665, KCTC 1752, LMG 6939, NBRC 12550, NCA 26, NCFB 1768, NCIMB 8923, NCTC 10339, NRRL B-1172, UCCCB118, VKM B-2231, VKM B-510, VTT E-81128    ","[{'media_title': '220: CASO AGAR (Merck 105458)', 'media_link': '/medium/220?ccno=DSM 22', 'growth_observed': 'Yes', 'growth_conditions': '55\xa0°C'}, {'media_title': 'J22: NUTRIENT AGAR NO. 2', 'media_link': '/medium/J22?ccno=DSM 22', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Bacterium,Bacillus badius DSM 23,https://mediadive.dsmz.de/strains/view/DSM 23,https://mediadive.dsmz.de/taxonomy?level=species&item=Bacillus badius,"['1', 'J22']","['https://mediadive.dsmz.de/medium/1', 'https://mediadive.dsmz.de/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-23', 'https://bacdive.dsmz.de/strain/602']","
        ATCC 14574, BCRC 11699, CCM 2113, CCUG 7412, CECT 17, CIP 58.52, , DSM 23, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-23, , HAMBI 1885, IAM 11059, IFO 15713, , JCM 12228, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=23, , KCTC 3739, LMG 7122, MTCC 1458, NBIMCC 2210, NBRC 15713, NCFB 1760, NCIB 9364, NCIMB 9364, NCTC 10333, NRRL NRS-663, NRS 663, VKM B-496    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 23', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': 'J22: NUTRIENT AGAR NO. 2', 'media_link': '/medium/J22?ccno=DSM 23', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Bacterium,Paenibacillus macerans DSM 24,https://mediadive.dsmz.de/strains/view/DSM 24,https://mediadive.dsmz.de/taxonomy?level=species&item=Paenibacillus macerans,"['1', 'J22', 'J75']","['https://mediadive.dsmz.de/medium/1', 'https://mediadive.dsmz.de/medium/J22', 'https://mediadive.dsmz.de/medium/J75']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-24', 'https://bacdive.dsmz.de/strain/11475']","
        ATCC 8244, BCRC 14680, CCM 2012, CCUG 7423, CECT 19, CIP 66.19, , DSM 24, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-24, , IAM 1227, IAM 12467, IFO 15307, , JCM 2500, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=24, , KCTC 1822, LMG 13281, LMG 6324, NBRC 15307, NCFB 1764, NCIB 9368, NCIMB 9368, NCTC 6355, NRRL B-172, NRRL B-394, NRRL B-4267, NRS 888, VKM B-506, VTT E-81138    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 24', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': 'J22: NUTRIENT AGAR NO. 2', 'media_link': '/medium/J22?ccno=DSM 24', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}, {'media_title': 'J75: TRYPTICASE SOY AGAR', 'media_link': '/medium/J75?ccno=DSM 24', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Bacterium,Brevibacillus laterosporus DSM 25,https://mediadive.dsmz.de/strains/view/DSM 25,https://mediadive.dsmz.de/taxonomy?level=species&item=Brevibacillus laterosporus,"['1', 'J22']","['https://mediadive.dsmz.de/medium/1', 'https://mediadive.dsmz.de/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-25', 'https://bacdive.dsmz.de/strain/11407']","
        AMC 797, ATCC 4517, ATCC 64, ATCC 8248, BCRC 10607, CCM 2116, CCUG 7421, CECT 15, CGMCC 1.3097, CIP 52.83, , DSM 25, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-25, , IAM 12465, IFO 15654, , JCM 2496, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=25, , KCTC 3313, LMG 15438, LMG 16000, LMG 6931, NBRC 15654, NCFB 1763, NCIB 9367, NCIMB 8213, NCIMB 8214, NCIMB 8215, NCIMB 9367, NCTC 2613, NCTC 6357, VKM B-499, VKM B-694, VKM B-695, VKM B-696    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 25', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': 'J22: NUTRIENT AGAR NO. 2', 'media_link': '/medium/J22?ccno=DSM 25', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Bacterium,Virgibacillus pantothenticus DSM 26,https://mediadive.dsmz.de/strains/view/DSM 26,https://mediadive.dsmz.de/taxonomy?level=species&item=Virgibacillus pantothenticus,"['1', 'J75']","['https://mediadive.dsmz.de/medium/1', 'https://mediadive.dsmz.de/medium/J75']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-26', 'https://bacdive.dsmz.de/strain/1474']","
        ATCC 14576, BCRC 14681, CCEB 635, CCM 2049, CCUG 7424, CECT 42, CIP 51.24, CN 3028, , DSM 26, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-26, , IAM 11061, , JCM 20334, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=26, , LMG 7129, NBRC 102447, NCAIM B.01092, NCFB 1765, NCIB 8775, NCIMB 8775, NCTC 8162, NRRL NRS-1321, NRS B21, OUT 8418, PCM 454, VKM B-1244, VKM B-507    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 26', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': 'J75: TRYPTICASE SOY AGAR', 'media_link': '/medium/J75?ccno=DSM 26', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Bacterium,Bacillus pumilus DSM 27,https://mediadive.dsmz.de/strains/view/DSM 27,https://mediadive.dsmz.de/taxonomy?level=species&item=Bacillus pumilus,"['1', 'J22']","['https://mediadive.dsmz.de/medium/1', 'https://mediadive.dsmz.de/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-27', 'https://bacdive.dsmz.de/strain/756']","
        ATCC 7061, BCRC 11706, CCM 2144, CCUG 26015, CECT 29, CGMCC 1.3533, CIP 52.67, , DSM 27, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-27, , IAM 12469, IAM 14177, IFO 12092, , JCM 2508, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=27, , KCTC 3348, LMG 7132, NBRC 12092, NCIB 9369, NCIMB 9369, NCTC 10337, NRIC 1010, NRRL NRS-272, NRS 272, VKM B-508, VTT E-95572    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 27', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': 'J22: NUTRIENT AGAR NO. 2', 'media_link': '/medium/J22?ccno=DSM 27', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Bacterium,Lysinibacillus sphaericus DSM 28,https://mediadive.dsmz.de/strains/view/DSM 28,https://mediadive.dsmz.de/taxonomy?level=species&item=Lysinibacillus sphaericus,"['1', 'J22']","['https://mediadive.dsmz.de/medium/1', 'https://mediadive.dsmz.de/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-28', 'https://bacdive.dsmz.de/strain/1532']","
        ATCC 14577, BCRC 12825, CCM 2120, CCUG 7428, CECT 33, CIP 65.30, , DSM 28, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-28, , IAM 13420, IFO 15095, , JCM 2502, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=28, , KCTC 3346, LMG 7134, NBRC 15095, NCCB 75018, NCIB 9370, NCIMB 9370, NCTC 10338, NRRL B-23268, VKM B-509    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 28', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': 'J22: NUTRIENT AGAR NO. 2', 'media_link': '/medium/J22?ccno=DSM 28', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Bacterium,Paenibacillus alvei DSM 29,https://mediadive.dsmz.de/strains/view/DSM 29,https://mediadive.dsmz.de/taxonomy?level=species&item=Paenibacillus alvei,"['1', 'J75']","['https://mediadive.dsmz.de/medium/1', 'https://mediadive.dsmz.de/medium/J75']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-29', 'https://bacdive.dsmz.de/strain/11461']","
        ATCC 6344, ATCC 8240, CCM 2051, CCUG 1815, CECT 2, CIP 66.18, CN 2198, , DSM 29, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-29, , IAM 1258, IFO 3343, , JCM 20131, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=29, , LMG 13253, LMG 6922, NBRC 3343, NCCB 48008, NCFB 1153, NCIB 9371, NCIMB 8198, NCIMB 9371, NCTC 3324, NCTC 6352, NRRL B-383, NRS 662, VKM B-502    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 29', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': 'J75: TRYPTICASE SOY AGAR', 'media_link': '/medium/J75?ccno=DSM 29', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Bacterium,Brevibacillus brevis DSM 30,https://mediadive.dsmz.de/strains/view/DSM 30,https://mediadive.dsmz.de/taxonomy?level=species&item=Brevibacillus brevis,"['1', 'J22']","['https://mediadive.dsmz.de/medium/1', 'https://mediadive.dsmz.de/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-30', 'https://bacdive.dsmz.de/strain/11402']","
        ATCC 8246, BCRC 14682, CCM 2050, CCUG 7413, CECT 5, CGMCC 1.3098, CIP 52.86, , DSM 30, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-30, , IFO 15304, , JCM 2503, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=30, , KCTC 3743, LMG 16703, LMG 7123, NBRC 15304, NCIB 9372, NCIMB 9372, NCTC 2611, NRRL B-14602, NRRL NRS-604, NRRL NRS-819, NRS 604, VKM B-503    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 30', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': 'J22: NUTRIENT AGAR NO. 2', 'media_link': '/medium/J22?ccno=DSM 30', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Bacterium,Bacillus cereus DSM 31,https://mediadive.dsmz.de/strains/view/DSM 31,https://mediadive.dsmz.de/taxonomy?level=species&item=Bacillus cereus,"['1', '693', 'J22', '92']","['https://mediadive.dsmz.de/medium/1', 'https://mediadive.dsmz.de/medium/693', 'https://mediadive.dsmz.de/medium/J22', 'https://mediadive.dsmz.de/medium/92']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-31', 'https://bacdive.dsmz.de/strain/624']","
        ATCC 14579, BCRC 10603, BCRC 11026, CCM 2010, CCUG 7414, CECT 148, CECT 5050, CGMCC 1.3760, CIP 66.24, , DSM 31, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-31, , HAMBI 1887, IAM 12605, IAM 14174, IFO 15305, , JCM 2152, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=31, , KCTC 3624, LMG 6923, NBRC 15305, NCAIM B.02078, NCCB 75008, NCFB 1771, NCIB 9373, NCIMB 9373, NCTC 2599, NRRL B-3711, VKM B-504, VTT E-93143    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 31', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': '92: TRYPTICASE SOY YEAST EXTRACT MEDIUM', 'media_link': '/medium/92?ccno=DSM 31', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': '693: COLUMBIA BLOOD MEDIUM', 'media_link': '/medium/693?ccno=DSM 31', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': 'J22: NUTRIENT AGAR NO. 2', 'media_link': '/medium/J22?ccno=DSM 31', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
