ID,Step,Solution,Solution_link,Medium,Mediums_link
step-57,Fill 10x 46ml in 100 ml screw-cap bottles. Bubble with N2/CO2and autoclave 121°C 15 min.,38,/solutions/38,29,/medium/29
step-7658,Adjust pH to7.0.,5710,/solutions/5710,1469,/medium/1469
step-7650,Prepare solution 2,5707,/solutions/5707,1469,/medium/1469
step-59,"Prepare in a screw-cap bottle, bubble with N2to replace air, close tightly and autoclave.",39,/solutions/39,29,/medium/29
step-60,"Bubble with CO2and filter sterilize into sterile, gas-tight, 100 ml screw-cap bottle.",40,/solutions/40,29,/medium/29
step-61,"Autoclave in a cotton-stoppered Erlenmeyer flask with an outlet tube for medium, connected to a glass outlet at the bottom of the vessel and has, at the other end, a silicon rubber tube with a pinch cock and a bell for aseptic dispensing of the medium into bottles.",41,/solutions/41,29,/medium/29
step-63,Cool to room temperature under an atmosphere of N2/CO2in an ice bath.,41,/solutions/41,29,/medium/29
step-64,"Filter sterilize into sterile, gas-tight, 100 ml screw-cap bottle.",42,/solutions/42,29,/medium/29
step-65,Filter sterilized,43,/solutions/43,29,/medium/29
step-67,"Mix solution D, C and E. Bubble with CO2in an ice bath under sterile conditions.",37,/solutions/37,29,/medium/29
step-68,Fill 50 ml in each bottle of solution A. Before using add 4 ml solution B and 0.1 ml solution F.,37,/solutions/37,29,/medium/29
step-69,Adjust the pH with filter-sterilised 1M Na2CO3to 6.8 -7.1.,37,/solutions/37,29,/medium/29
step-70,"Fill in sterile, N2gassed screw-cap tubes under N2gas.",37,/solutions/37,29,/medium/29
step-71,"During the first 24 h, the iron of the medium precipitates in the form of black flocks. No other sediment should arise in the otherwise clear medium. Feed periodically with neutralized 3% solution of sodium sulfide to replenish sulfide and with other supplement solutions (see Ref. 3365).",37,/solutions/37,29,/medium/29
step-72,"The sulfide solution is prepared in a 250 ml screw-capped bottle with a butyl rubber septum and a magnetic stirrer. The solution is bubbled with nitrogen gas, closed and autoclaved for 15 min. at 121°C. After cooling to room temperature the pH is adjusted to about 7.0 by adding of sterile 2 N H2SO4drop-wise with a syringe without opening the bottle.",44,/solutions/44,29,/medium/29
step-73,Appearance of a yellow colour indicates the drop of pH to about 8. The solution should be stirred continuously to avoid precipitation of elemental sulfur. The final solution should be clear and is yellow in colour.,44,/solutions/44,29,/medium/29
step-6234,At 25C in light the incubation time is about 4 weeks.,5591,/solutions/5591,29a,/medium/29a
step-6236,Adjust pH to 7.0. For Bacillus strains the addition of 10.0 mg MnSO4x H2O is recommended for sporulation.,5594,/solutions/5594,258,/medium/258
step-6114,Note: Incubate statically without shaking.,49,/solutions/49,35,/medium/35
step-77,For solid medium add:,47,/solutions/47,32,/medium/32
step-78,Adjust pH to 7.2 - 7.5.,47,/solutions/47,32,/medium/32
step-79,Adjust pH to 7.8.,48,/solutions/48,34,/medium/34
step-80,"Dissolve all ingredients, except the sulfur and adjust the pH to 4.2, then autoclave. For sterilization place the sulfur in screw-capped tubes or bottles, wet with a few drops of water and heat for 3 hours to 90 - 100°C in a water bath on each of three successive days. Before use, aseptically layer the sulfur onto the surface of autoclaved liquid basal medium.",49,/solutions/49,35,/medium/35
step-83,Adjust pH to 6.0 with NaOH.,52,/solutions/52,35a,/medium/35a
step-84,"Solutions A, B and D are sterilized separately by autoclaving. Solution C is sterilized by filtration. After autoclaving the solutions A and B are combined and then supplemented with the sterile solutions C and D. Best growth is observed in the syneresis water of slant agar tubes.",51,/solutions/51,35a,/medium/35a
step-87,Dissolve ingredients except thiosulfate and adjust the pH to 6.6. Dispense in suitable culivation vials and autoclave. Add thiosulfate to the autoclaved medium from a sterile stock solution.,56,/solutions/56,36,/medium/36
step-90,Adjust pH to 6.8,57,/solutions/57,37,/medium/37
step-91,"Dissolve ingredients (except sulfide), adjust pH to 7.0, bring medium to the boil, then cool to room temperature under 100% N2gas. Dispense under same gas atmosphere in culture vessels and autoclave. After sterilization add sulfide from a sterile anoxic stock solution prepared under 100% N2gas.",58,/solutions/58,38,/medium/38
step-95,Same as modified medium 27.,62,/solutions/62,44,/medium/44
step-97,"Dissolve ingredients (except glucose), adjust pH to 7.5 and sparge medium with 100% N2gas for 30 - 45 min to make it anoxic. Dispense medium under same gas atmosphere into anoxic Hungate-type tubes or serum vials and autoclave.",64,/solutions/64,48,/medium/48
step-98,Add glucose to the medium after autoclaving from a sterile stock solution prepared under 100% N2gas.,64,/solutions/64,48,/medium/48
step-99,Adjust pH to 7.2 before adding agar.,65,/solutions/65,49,/medium/49
step-100,Adjust pH to 7.0.,66,/solutions/66,51,/medium/51
step-101,Prepare sterile agar slants by autoclaving. Cool the slants in a sloping position. Cover solid slants with 2 ml sterile tap water. Inoculate into the covering tap water and incubate at 20 to 25°C for at least 48 h.,66,/solutions/66,51,/medium/51
step-102,"Dissolve all ingredients (except ethanol, carbonate, vitamins, cysteine and sulfide) and sparge medium with 80% N2and 20% CO2gas mixture for 30 - 45 min to make it anoxic. Add ethanol, then dispense medium under same gas atmosphere in Hungate-type tubes or serum vials and autoclave. After autoclaving, add carbonate from a sterile stock solution prepared under 80% N2and 20% CO2gas atmosphere and vitamins from an anoxic and filter-sterilized stock solution prepared under 100% N2gas. Before inoculation, add cysteine and sulfide from sterile anoxic stock solutions prepared under 100% N2gas. Adjust pH of medium to 6.8 - 7.0, if necessary.",67,/solutions/67,52,/medium/52
step-103,"Note: If reduction of medium is not complete after inoculation, add 10 - 20 mg/l sodium dithionite from a 5% w/v solution freshly prepared under 100% N2gas and filter sterilized.",67,/solutions/67,52,/medium/52
step-104,Adjust pH to 7.2 - 7.4.,68,/solutions/68,53,/medium/53
step-6661,Adjust pH of medium to 7.2 with KOH before as well as after autoclaving and cooling to 50°C (use pH-indicator paper).,10,/solutions/10,9a,/medium/9a
step-106,Rehydrate and grow lyophilized cells from the ampoule in liquid medium 54 or 545. Subsequent subculturing may be carried out in liquid medium or on agar plates medium 54.,70,/solutions/70,54a,/medium/54a
step-107,Adjust pH to 7.3.,72,/solutions/72,54a,/medium/54a
step-108,"The same as Caso Bouillon (Merck or Oxoid, Germany).",72,/solutions/72,54a,/medium/54a
step-109,Dissolve ingredients (note that most of the carbonate remains suspended) and sparge medium with 100% N2gas for 30 -45 min to make it anoxic. Dispense medium under same gas atmosphere into anoxic Hungate-type tubes or serum vials vials while stirring to keep carbonate suspended and autoclave.,73,/solutions/73,54b,/medium/54b
step-111,"Autoclave solutions A and B separately, filter sterilize solution C. Add 1.5% agar if necessary.",74,/solutions/74,55,/medium/55
step-112,Adjust pH to 5.4.,79,/solutions/79,57,/medium/57
step-113,The cysteine are added after the medium has been boiled and cooled under CO2. Adjust pH to 6.8 using 8 N NaOH. Distribute under N2and autoclave.,80,/solutions/80,58,/medium/58
step-115,Adjust pH to 4.8.,81,/solutions/81,59,/medium/59
step-116,"Sparge solution A with 100% CO2gas for 30 - 45 min to make it anoxic, then distribute under same gas atmosphere into anoxic Hungate-type tubes or serum vials and autoclave. Autoclave separately solutions B, C, E and F under 100% N2gas, and solution D under 80% N2and 20% CO2gas atmosphere. To complete the medium appropriate amounts of solutions B to F are added to the sterile solution A in the sequence as indicated. Adjust pH of the complete medium to 6.9, if necessary.",82,/solutions/82,60,/medium/60
step-117,"Dissolve ingredients (except ferrous sulfate, sucrose, sulfite, and thiosulfate), adjust pH to 6.8 - 7.5, and sparge medium with 100% N2gas for 30 - 45 min to make it anoxic. Add ferrous sulfate, then dispense medium under the same gas atmosphere into anoxic Hungate-type tubes or serum vials and autoclave. After sterilization add sucrose, sulfite, and thiosulfate from anoxic stock solutions prepared under 100% N2gas and sterilized by filtration. The stock solution of sulfite should be freshly prepared.",89,/solutions/89,61,/medium/61
step-7776,"Prior to inoculation, add vitamins, NaNO3, and NaHCO3(from filter sterilized stock solutions under a N2gas atmosphere) to the medium.",2267,/solutions/2267,1131,/medium/1131
step-7777,Autoclave at121 °Cfor20 min.,2267,/solutions/2267,1131,/medium/1131
step-120,"Dissolve ingredients of solution A, bring to the boil, then cool to room temperature while sparging with 100% N2gas. Add solutions B and C, adjust pH to 7.8 with NaOH, and distribute under 100% N2gas atmosphere into anoxic Hungate-type tubes. During distribution continuously swirl the medium to keep the grey precipitate suspended. Autoclave 15 min at 121 °C. Adjust pH of the complete medium to 6.8 - 7.0, if necessary.",90,/solutions/90,63,/medium/63
step-7119,"Make up to 1 litre with distilled water.  Adjust pH to 6.8 with NaOH, then autoclave 
at 15 psi for 15 minutes.  For agar add 15 g per litre Bacterial Agar.",6043,/solutions/6043,C52,/medium/C52
step-7120,"Make up to 1 litre with filtered natural seawater. Autoclave at 15 psi for 15 minutes. It may
be necessary to filter final medium to avoid problems with precipitation.",6193,/solutions/6193,C53,/medium/C53
step-7121,Make up to 1 litre with deionized water and autoclave at 15 psi for 15 minutes.,6194,/solutions/6194,C53,/medium/C53
step-123,"Dissolve ingredients of solution A, bring to the boil, then cool to room temperature while sparging with 100% N2gas. Add solutions B and C, adjust pH to 7.8 with NaOH, and distribute under 100% N2gas atmospherer into anoxic Hungate-type tubes. During distribution continuously swirl the medium to keep the grey precipitate suspended. Autoclave 15 min at 121°C. Check medium pH after autoclaving and adjust to 6.8 - 7.0, if necessary.",94,/solutions/94,63a,/medium/63a
step-124,"Alternatively to filtered aged sea water bottled water from Biomaris GmbH (Bremen, Germany) can be used.",99,/solutions/99,63b,/medium/63b
step-125,"Dissolve ingredients of solution A, bring to the boil, then cool to room temperature while sparging with 100% N2gas. Add solutions B and C, adjust pH to 7.8 with NaOH, and distribute under 100% N2gas into anoxic Hungate-type tubes. During distribution continuously swirl the medium to keep the grey precipitate suspended. Autoclave 15 min at 121°C. Adjust pH of the complete medium to 6.8 - 7.0, if necessary.",98,/solutions/98,63b,/medium/63b
step-126,"Dissolve ingredients of solution A, bring to the boil, then cool to room temperature while sparging with 100% N2gas. Add solutions B and C, adjust pH to 7.8 with NaOH, and distribute under 100% N2gas in anoxic Hungate-type tubes. During distribution continuously swirl the medium to keep the grey precipitate suspended. Autoclave 15 min at 121°C. Check medium pH after autoclaving and adjust to 6.8 - 7.0, if necessary.",102,/solutions/102,63c,/medium/63c
step-6115,Note: Incubate statically without shaking.,116,/solutions/116,71,/medium/71
step-127,Adjust pH to 7.2 before adding agar. Delete CaCO3if liquid medium is used.,106,/solutions/106,65,/medium/65
step-128,Adjust pH to 7.2.,107,/solutions/107,67,/medium/67
step-129,"Dissolve ingredients except thiosulfate, dispense into suitable cultivation vessels and autoclave. Add thiosulfate to the autoclaved medium from a sterile stock solution. Adjust pH of complete medium to 6.6 - 7.0.",108,/solutions/108,68,/medium/68
step-130,"Solutions A, B, C and D are sterilized separately by autoclaving and mixed when cooled to room temperature. Adjust pH of complete medium to 8.5 with sterile 0.5 N NaOH.",109,/solutions/109,69,/medium/69
step-131,"Dissolve EDTA in distilled water, adjust pH to 7 using 2 N KOH, then add remaining compounds. Adjust pH of final solution to 6.0 with KOH.",114,/solutions/114,69,/medium/69
step-132,Adjust pH to 1.8 with 2N sulfuric acid. Sterilize by autoclaving for 15 min at 121°C.,115,/solutions/115,70,/medium/70
step-6637,"Use lean beef or horse meat. Remove fat and connective tissue before grinding. Mix meat, water and NaOH, then boil for 15 min with stirring. Cool to room temperature, skim fat off surface, and filter, retaining both meat particles and filtrate. To the filtrate add Casitone, yeast extract, hydrogen phosphate and resazurin, then add water to a final volume of 700 ml. Sparge medium with 80% N2and 20% CO2gas mixture for 30 - 45 min to make it anoxic, then add cysteine and adjust pH to 7.0. Dispense medium under same gas atmosphere into anoxic Hungate-type tubes containing meat particles (use ca. 7 ml liquid medium for 1 - 2 g meat particles), then autoclave at 121°C for 20 min. After autoclaving add fumarate, formate, rumen fluid, horse serum, fatty acids, vitamins, haemin, vitamin K1and DTT rom sterile anoxic stock solutions prepared under 100% N2gas atmosphere and sterilized by filtration.",133,/solutions/133,78c,/medium/78c
step-133,"Prepare the medium without thiosulfate, adjust pH to 4.4 - 4.7 and autoclave at 121°C for 15 min. Sterilize thiosulfate separately by filtration and add after autoclaving.",116,/solutions/116,71,/medium/71
step-137,Adjust pH to 7.0.,118,/solutions/118,73,/medium/73
step-138,Adjust pH to 7.0.,119,/solutions/119,74,/medium/74
step-139,"The original medium description specifies polypeptone, which appears to be no longer available.",119,/solutions/119,74,/medium/74
step-140,Adjust pH to 7.3.,120,/solutions/120,75,/medium/75
step-141,"First dissolve KOH and K2HPO4in water, then add uric acid and boil until the acid is dissolved. Cool medium to room temperature under 100% N2gas atmosphere and add all other compounds, except carbonate and thioglycolate. Dispense under 100% N2gas atmosphere into anoxic Hungate-type tubes or serum vials and autoclave for 15 min at 121°C. Then add carbonate (filter-sterilized stock solution prepared under 80% N2and 20% CO2gas atmosphere) and thioglycolate (stock solution, autoclaved separately under 100% N2gas). Adjust pH of complete medium to 7.0 - 7.5, if necessary.",121,/solutions/121,76,/medium/76
step-142,Prepare the medium according to directions on the bottle under 100% N2gas atmosphere.,122,/solutions/122,77,/medium/77
step-6466,"Use lean beef or horse meat. Remove fat and connective tissue before grinding. Mix
meat, water and NaOH, then boil for 15 min with stirring. Cool to room temperature,
skim fat off surface, and filter, retaining both meat particles and filtrate. To the filtrate
add water to a final volume of 1000 ml, and then add:",123,/solutions/123,78,/medium/78
step-144,"To make medium anoxic bring it to a boil, cool under 100% N2gas atmosphere, add 0.5 g/l L-cysteine hydrochloride and adjust pH to 7.0. Dispense under 100% N2gas atmosphere by filling 7 ml medium into anoxic Hungate-type tubes (for strains demanding meat particles put those first into the tube (use 1 part meat particles to 4 or 5 parts fluid)). Autoclave at 121°C for 30 min. For agar slants use 15.0 g agar per 1000.0 ml medium.",123,/solutions/123,78,/medium/78
step-6126,"Dissolve 5 mg vitamin K3in 1 ml 95% ethanol, dilute to 0.05 mg/ml in water and filter sterilize. Store refrigerated in a brown bottle.",5540,/solutions/5540,78,/medium/78
step-145,In some cases (as indicated in the catalogue) the addition of Haemin and Vitamin K1or Vitamin K3is necessary. Add to 1000 ml of medium after autoclaving:,123,/solutions/123,78,/medium/78
step-146,Dissolve 50 mg haemin in 1 ml 1 N NaOH; make up to 100 ml with distilled water and filter sterilize. Store refrigerated.,124,/solutions/124,78,/medium/78
step-147,Dissolve 0.1 ml of vitamin K1in 20 ml 95% ethanol and filter sterilize. Store refrigerated in a brown bottle.,125,/solutions/125,78,/medium/78
step-148,"Dissolve 5 mg/ml of vitamin K3in 95% ethanol, dilute to 0.05 mg/ml in water and filter sterilize. Store refrigerated in a brown bottle.",126,/solutions/126,78,/medium/78
step-151,"To the ready medium, add 50 ml/l amino acid solution and 5 ml/l vitamin solution. These solutions must not be prepared under anaerobic conditions.",5563,/solutions/5563,78a,/medium/78a
step-153,"Stir for some hours, filter sterilize the solution.",128,/solutions/128,78a,/medium/78a
step-154,"Use lean beef or horse meat. Remove fat and connective tissue before grinding. Mix meat, water and NaOH, then boil for 15 min with stirring. Cool to room temperature, skim fat off surface, and filter, retaining both meat particles and filtrate. To the filtrate add Casitone, yeast extract, hydrogen
phosphate and resazurin, then add water to a final volume of 700 ml. Sparge medium with 80% N2and 20% CO2gas mixture for 30 - 45 min to make it anoxic, then add cysteine and adjust pH to 7.0.
Dispense medium under same gas atmosphere into anoxic Hungate-type tubes containing meat particles (use ca. 7 ml liquid medium for 1 - 2 g meat particles), then autoclave at 121°C for 20 min.",129,/solutions/129,78b,/medium/78b
step-6638,The medium is fairly weakly buffered so the pH should be checked before and after autoclaving. The pH should be adjusted with H3PO4(sterilised if added to sterile medium). The strain should be grown with shaking.,2647,/solutions/2647,1322,/medium/1322
step-6644,Boil 200 g scrubbed and sliced potatoes in 1000 ml water for 1 hour. Pass through fine sieve. Avoid new potatoes.,227,/solutions/227,129,/medium/129
step-156,In some cases (as indicated in the catalogue) the addition of Haemin and Vitamin K1or Vitamin K3is necessary. Add to 1000 ml of medium after autoclaving:,129,/solutions/129,78b,/medium/78b
step-157,Dissolve 50 mg haemin in 1 ml 1 N NaOH; make up to 100 ml with distilled water and filter sterilize. Store refrigerated.,130,/solutions/130,78b,/medium/78b
step-158,Dissolve 0.1 ml of vitamin K1in 20 ml 95% ethanol and filter sterilize. Store refrigerated in a brown bottle.,131,/solutions/131,78b,/medium/78b
step-159,"Dissolve 5 mg/ml of vitamin K3in 95% ethanol, dilute to 0.05 mg/ml in water and filter sterilize. Store refrigerated in a brown bottle.",132,/solutions/132,78b,/medium/78b
step-161,To medium 78 add per liter:,5564,/solutions/5564,78d,/medium/78d
step-162,"Prepare medium anaerobically under N2:CO2(80:20). After inoculation of the tubes, pressurize them with hydrogen gas to 150 kP (1.5 bar).",5564,/solutions/5564,78d,/medium/78d
step-164,Amino acid solution per 50 ml:,5565,/solutions/5565,78d,/medium/78d
step-166,"Dissolve 5 mg hemin in 1 ml 1 M NaOH, fill up to 50 ml with dist. water.",5566,/solutions/5566,78d,/medium/78d
step-6134,Peptone mixture per 50 ml:,5567,/solutions/5567,78d,/medium/78d
step-168,"Dissolve 1 g ascorbic acid in 40 ml dist. water, adjust pH to 7.0. fill up to 50 ml.",5568,/solutions/5568,78d,/medium/78d
step-6135,N-Acetylglucosamin and pyruvate solution per 50 ml :,5569,/solutions/5569,78d,/medium/78d
step-170,"Dissolve 7 g glutathione in 40 ml dist. Water, adjust pH to 7.0 and fill up to 50 ml.",5570,/solutions/5570,78d,/medium/78d
step-6136,Depending on organism use different modification .,5571,/solutions/5571,78d,/medium/78d
step-6602,All following solutions were filter sterilized,5564,/solutions/5564,78d,/medium/78d
step-174,Adjust pH to 7.8.,5554,/solutions/5554,79,/medium/79
step-175,"Adjust pH to 7.0. Soil extract is prepared by sieving air dried garden soil through a coarse sieve and autoclaving 400 g with 960 ml of distilled water at 121°C for one hour. After the mixture is cool and settled, the supernatant is carefully decanted, filtered through paper, autoclaved in 200 ml quantities, and stored at room temperature until cleared by sedimentation.",136,/solutions/136,80,/medium/80
step-176,"Solutions A, B, C are autoclaved separately for 15 min at 121°C, cooled down to 50°C and then mixed aseptically with 5.0 ml filter-sterilized standard vitamin solution (see below).The final pH of this medium should be 6.8 without adjustment.",137,/solutions/137,81,/medium/81
step-177,"For chemolithotrophic growth incubate the culture under an atmosphere of 2% (v/v) O2, 10% CO2, 60% H2and 28% N2. For heterotrophic growth supplement the mineral medium with an appropriate carbon source (0.2% carbohydrate or 0.1% organic acid). For growth on nitrogen-free medium, omit NH4Cl and incubate the culture under an atmosphere of 2% (v/v) O2, 10% CO2, 10% H2and 78% N2or heterotrophically under 2% (v/v) O2and 98% N2. For more details see Ref. 1515 and Ref. 3363.",137,/solutions/137,81,/medium/81
