Name,Synonyms,Growth Conditions
Cytobacillus firmus DSM 12,"
        ATCC 14575, BCRC 11730, CCM 2213, CCUG 7418, CECT 14, CIP 52.70, , DSM 12, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-12, , IAM 12464, IAM 14179, IFO 15306, , JCM 2512, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=12, , KCTC 3626, LMG 7125, NBRC 15306, NCIB 9366, NCIMB 9366, NCTC 10335, NRRL B-14307, NRRL NRS-613, NRS 613, VKM B-498, VTT E-97061    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 12', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': 'J22: NUTRIENT AGAR NO. 2', 'media_link': '/medium/J22?ccno=DSM 12', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Bacillus licheniformis DSM 13,"
        ATCC 14580, BCRC 11702, CCM 2145, CCUG 7422, CECT 20, CGMCC 1.3649, CIP 52.71, , DSM 13, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-13, , IAM 13417, IFO 12200, , JCM 2505, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=13, , KCTC 1753, KCTC 1918, LMG 6933, NBRC 12200, NCFB 1772, NCIB 9375, NCIMB 9375, NCTC 10341, NRRL NRS-1264, VKM B-511, WDCM 00068    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 13', 'growth_observed': 'Yes', 'growth_conditions': '37\xa0°C'}, {'media_title': 'J22: NUTRIENT AGAR NO. 2', 'media_link': '/medium/J22?ccno=DSM 13', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Bacillus sp. DSM 14,"DSM 14, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-14","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 14', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}]"
Bacillus licheniformis DSM 15,"DSM 15, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-15","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 15', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}]"
Geobacillus stearothermophilus DSM 22,"
        ATCC 12980, BCRC 11092, CCM 2062, CCUG 26241, CIP 66.23, , DSM 22, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-22, , IAM 11062, IFO 12550, , JCM 2501, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=22, , KCTC 1665, KCTC 1752, LMG 6939, NBRC 12550, NCA 26, NCFB 1768, NCIMB 8923, NCTC 10339, NRRL B-1172, UCCCB118, VKM B-2231, VKM B-510, VTT E-81128    ","[{'media_title': '220: CASO AGAR (Merck 105458)', 'media_link': '/medium/220?ccno=DSM 22', 'growth_observed': 'Yes', 'growth_conditions': '55\xa0°C'}, {'media_title': 'J22: NUTRIENT AGAR NO. 2', 'media_link': '/medium/J22?ccno=DSM 22', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Bacillus badius DSM 23,"
        ATCC 14574, BCRC 11699, CCM 2113, CCUG 7412, CECT 17, CIP 58.52, , DSM 23, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-23, , HAMBI 1885, IAM 11059, IFO 15713, , JCM 12228, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=23, , KCTC 3739, LMG 7122, MTCC 1458, NBIMCC 2210, NBRC 15713, NCFB 1760, NCIB 9364, NCIMB 9364, NCTC 10333, NRRL NRS-663, NRS 663, VKM B-496    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 23', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': 'J22: NUTRIENT AGAR NO. 2', 'media_link': '/medium/J22?ccno=DSM 23', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Paenibacillus macerans DSM 24,"
        ATCC 8244, BCRC 14680, CCM 2012, CCUG 7423, CECT 19, CIP 66.19, , DSM 24, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-24, , IAM 1227, IAM 12467, IFO 15307, , JCM 2500, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=24, , KCTC 1822, LMG 13281, LMG 6324, NBRC 15307, NCFB 1764, NCIB 9368, NCIMB 9368, NCTC 6355, NRRL B-172, NRRL B-394, NRRL B-4267, NRS 888, VKM B-506, VTT E-81138    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 24', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': 'J22: NUTRIENT AGAR NO. 2', 'media_link': '/medium/J22?ccno=DSM 24', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}, {'media_title': 'J75: TRYPTICASE SOY AGAR', 'media_link': '/medium/J75?ccno=DSM 24', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Brevibacillus laterosporus DSM 25,"
        AMC 797, ATCC 4517, ATCC 64, ATCC 8248, BCRC 10607, CCM 2116, CCUG 7421, CECT 15, CGMCC 1.3097, CIP 52.83, , DSM 25, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-25, , IAM 12465, IFO 15654, , JCM 2496, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=25, , KCTC 3313, LMG 15438, LMG 16000, LMG 6931, NBRC 15654, NCFB 1763, NCIB 9367, NCIMB 8213, NCIMB 8214, NCIMB 8215, NCIMB 9367, NCTC 2613, NCTC 6357, VKM B-499, VKM B-694, VKM B-695, VKM B-696    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 25', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': 'J22: NUTRIENT AGAR NO. 2', 'media_link': '/medium/J22?ccno=DSM 25', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Virgibacillus pantothenticus DSM 26,"
        ATCC 14576, BCRC 14681, CCEB 635, CCM 2049, CCUG 7424, CECT 42, CIP 51.24, CN 3028, , DSM 26, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-26, , IAM 11061, , JCM 20334, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=26, , LMG 7129, NBRC 102447, NCAIM B.01092, NCFB 1765, NCIB 8775, NCIMB 8775, NCTC 8162, NRRL NRS-1321, NRS B21, OUT 8418, PCM 454, VKM B-1244, VKM B-507    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 26', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': 'J75: TRYPTICASE SOY AGAR', 'media_link': '/medium/J75?ccno=DSM 26', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Bacillus pumilus DSM 27,"
        ATCC 7061, BCRC 11706, CCM 2144, CCUG 26015, CECT 29, CGMCC 1.3533, CIP 52.67, , DSM 27, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-27, , IAM 12469, IAM 14177, IFO 12092, , JCM 2508, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=27, , KCTC 3348, LMG 7132, NBRC 12092, NCIB 9369, NCIMB 9369, NCTC 10337, NRIC 1010, NRRL NRS-272, NRS 272, VKM B-508, VTT E-95572    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 27', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': 'J22: NUTRIENT AGAR NO. 2', 'media_link': '/medium/J22?ccno=DSM 27', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Lysinibacillus sphaericus DSM 28,"
        ATCC 14577, BCRC 12825, CCM 2120, CCUG 7428, CECT 33, CIP 65.30, , DSM 28, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-28, , IAM 13420, IFO 15095, , JCM 2502, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=28, , KCTC 3346, LMG 7134, NBRC 15095, NCCB 75018, NCIB 9370, NCIMB 9370, NCTC 10338, NRRL B-23268, VKM B-509    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 28', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': 'J22: NUTRIENT AGAR NO. 2', 'media_link': '/medium/J22?ccno=DSM 28', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Paenibacillus alvei DSM 29,"
        ATCC 6344, ATCC 8240, CCM 2051, CCUG 1815, CECT 2, CIP 66.18, CN 2198, , DSM 29, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-29, , IAM 1258, IFO 3343, , JCM 20131, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=29, , LMG 13253, LMG 6922, NBRC 3343, NCCB 48008, NCFB 1153, NCIB 9371, NCIMB 8198, NCIMB 9371, NCTC 3324, NCTC 6352, NRRL B-383, NRS 662, VKM B-502    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 29', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': 'J75: TRYPTICASE SOY AGAR', 'media_link': '/medium/J75?ccno=DSM 29', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Brevibacillus brevis DSM 30,"
        ATCC 8246, BCRC 14682, CCM 2050, CCUG 7413, CECT 5, CGMCC 1.3098, CIP 52.86, , DSM 30, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-30, , IFO 15304, , JCM 2503, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=30, , KCTC 3743, LMG 16703, LMG 7123, NBRC 15304, NCIB 9372, NCIMB 9372, NCTC 2611, NRRL B-14602, NRRL NRS-604, NRRL NRS-819, NRS 604, VKM B-503    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 30', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': 'J22: NUTRIENT AGAR NO. 2', 'media_link': '/medium/J22?ccno=DSM 30', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Bacillus cereus DSM 31,"
        ATCC 14579, BCRC 10603, BCRC 11026, CCM 2010, CCUG 7414, CECT 148, CECT 5050, CGMCC 1.3760, CIP 66.24, , DSM 31, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-31, , HAMBI 1887, IAM 12605, IAM 14174, IFO 15305, , JCM 2152, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=31, , KCTC 3624, LMG 6923, NBRC 15305, NCAIM B.02078, NCCB 75008, NCFB 1771, NCIB 9373, NCIMB 9373, NCTC 2599, NRRL B-3711, VKM B-504, VTT E-93143    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 31', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': '92: TRYPTICASE SOY YEAST EXTRACT MEDIUM', 'media_link': '/medium/92?ccno=DSM 31', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': '693: COLUMBIA BLOOD MEDIUM', 'media_link': '/medium/693?ccno=DSM 31', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': 'J22: NUTRIENT AGAR NO. 2', 'media_link': '/medium/J22?ccno=DSM 31', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Priestia megaterium DSM 32,"
        ATCC 14581, BCRC 10608, CCM 2007, CCUG 1817, CECT 4313, CIP 66.20, , DSM 32, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-32, , HAMBI 2018, IAM 13418, IFO 15308, , JCM 2506, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=32, , KCTC 3007, LMG 7127, NBRC 15308, NCCB 75016, NCIB 9376, NCIMB 9376, NCTC 10342, NRIC 1710, NRRL B-14308, VKM B-512, VTT E-93055    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 32', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': 'J22: NUTRIENT AGAR NO. 2', 'media_link': '/medium/J22?ccno=DSM 32', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Sporosarcina pasteurii DSM 33,"
        ATCC 11859, CCM 2056, CCUG 7425, CIP 66.21, , DSM 33, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-33, , LMG 7130, NCIB 8841, NCTC 4822    ","[{'media_title': '220: CASO AGAR (Merck 105458)', 'media_link': '/medium/220?ccno=DSM 33', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}]"
Paenibacillus sp. DSM 34,"
        ATCC 14176, , DSM 34, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-34, , NCIB 10002    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 34', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}]"
Paenibacillus polymyxa DSM 36,"
        ATCC 842, BCRC 11168, BUCSAV 162, CCM 1459, CCUG 7426, CECT 155, CFBP 4258, CIP 66.22, , DSM 36, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-36, , HAMBI 1897, HAMBI 635, IAM 13419, IFO 15309, , JCM 2507, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=36, , KCTC 3627, KCTC 3858, LMG 13294, LMG 6319, NBRC 15309, NCFB 1774, NCIB 8158, NCIMB 8158, NCTC 10343, NRRL B-4317, VKM B-514, VTT E-97008    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 36', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': 'J22: NUTRIENT AGAR NO. 2', 'media_link': '/medium/J22?ccno=DSM 36', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Comamonas testosteroni DSM 38,"
        ATCC 17454, , DSM 38, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-38, , IAM 14426, , JCM 6223, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=38, , NCIB 8893, NCIMB 8893    ","[{'media_title': '1a: REACTIVATION WITH LIQUID MEDIUM 1', 'media_link': '/medium/1a?ccno=DSM 38', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': 'J22: NUTRIENT AGAR NO. 2', 'media_link': '/medium/J22?ccno=DSM 38', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Delftia acidovorans DSM 39,"
        ACM 489, ATCC 15668, BCRC 14819, CCUG 12692, CCUG 14481, CECT 311, CIP 103021, , DSM 39, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-39, , , DSM 50251, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-50251, , IAM 12409, IFO 14950, , JCM 5833, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=39, , , JCM 6203, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=39, , LMG 1226, LMG 6031, LMG 8910, LMG 8911, NBRC 14950, NCIMB 9681, NCTC 10683    ","[{'media_title': '1a: REACTIVATION WITH LIQUID MEDIUM 1', 'media_link': '/medium/1a?ccno=DSM 39', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': 'J12: NUTRIENT BROTH WITH 0.5% NaCl', 'media_link': '/medium/J12?ccno=DSM 39', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}, {'media_title': 'J22: NUTRIENT AGAR NO. 2', 'media_link': '/medium/J22?ccno=DSM 39', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Agromyces mediolanus DSM 40,"
        ATCC 13930, , DSM 40, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-40, , IAM 15149, IFO 15700, , JCM 1376, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=40, , KCCM 35448, LMG 18115, LMG 4015, NBRC 15700    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 40', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': 'J26: R AGAR', 'media_link': '/medium/J26?ccno=DSM 40', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Acidovorax facilis DSM 41,"DSM 41, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-41","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 41', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}]"
Serratia marcescens DSM 48,"
        CCM 846, , DSM 48, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-48","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 48', 'growth_observed': 'Yes', 'growth_conditions': '37\xa0°C'}, {'media_title': '92: TRYPTICASE SOY YEAST EXTRACT MEDIUM', 'media_link': '/medium/92?ccno=DSM 48', 'growth_observed': 'Yes', 'growth_conditions': '37\xa0°C'}, {'media_title': '693: COLUMBIA BLOOD MEDIUM', 'media_link': '/medium/693?ccno=DSM 48', 'growth_observed': 'Yes', 'growth_conditions': '37\xa0°C'}]"
Serratia plymuthica DSM 49,"
        ATCC 7462, CCM 581, , DSM 49, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-49","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 49', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}]"
Clostridium beijerinckii DSM 51,"
        ATCC 17797 (1969), , DSM 51, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-51","[{'media_title': '48: TRYPTONE THIOGLYCOLATE MEDIUM', 'media_link': '/medium/48?ccno=DSM 51', 'growth_observed': 'Yes', 'growth_conditions': '37\xa0°C'}]"
Clostridium beijerinckii DSM 53,"
        ATCC 14949, , DSM 53, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-53, , , JCM 6287, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=53, , NCIMB 9503    ","[{'media_title': '54b: CLOSTRIDIUM SP. MEDIUM', 'media_link': '/medium/54b?ccno=DSM 53', 'growth_observed': 'Yes', 'growth_conditions': '37\xa0°C'}, {'media_title': '104c: PY + X MEDIUM (N2/CO2)', 'media_link': '/medium/104c?ccno=DSM 53', 'growth_observed': 'Yes', 'growth_conditions': '37\xa0°C'}, {'media_title': '110a: CMC MEDIUM (N2/CO2)', 'media_link': '/medium/110a?ccno=DSM 53', 'growth_observed': 'Yes', 'growth_conditions': '37\xa0°C'}, {'media_title': 'J14: EG MEDIUM', 'media_link': '/medium/J14?ccno=DSM 53', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}, {'media_title': 'J84: GAM SEMISOLID', 'media_link': '/medium/J84?ccno=DSM 53', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
Lysinibacillus macroides DSM 54,"
        ATCC 12905, , DSM 54, href: https://www.dsmz.de/collection/catalogue/details/culture/DSM-54, , IAM 15292, , JCM 21742, href: https://www.jcm.riken.jp/cgi-bin/jcm/jcm_number?DSM=54, , LMG 18473, LMG 18474, SAG 1741-1b    ","[{'media_title': '1: NUTRIENT AGAR', 'media_link': '/medium/1?ccno=DSM 54', 'growth_observed': 'Yes', 'growth_conditions': '30\xa0°C'}, {'media_title': 'J75: TRYPTICASE SOY AGAR', 'media_link': '/medium/J75?ccno=DSM 54', 'growth_observed': 'Yes', 'growth_conditions': 'N/A'}]"
