Name,Name Link,ChEBI-ID,ChEBI-ID Link,CAS Registry NumberⓇ,CAS Registry NumberⓇ Link,Formula,Mass
Casein peptone,https://mediadive.dsmz.de/ingredients/21?p=1,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,91079-40-2,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=91079-40-2,complex,complex
Tween 80,https://mediadive.dsmz.de/ingredients/22?p=2,53426,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:53426,9005-65-6,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=9005-65-6,C64H124O26,1308.84
Na-acetate,https://mediadive.dsmz.de/ingredients/23?p=2,32954,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:32954,127-09-3,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=127-09-3,C2H3NaO2,82.0338
(NH4)3citrate,https://mediadive.dsmz.de/ingredients/24?p=2,63037,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:63037,3458-72-8,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=3458-72-8,C6H8O7.3H3N,243.215
Resazurin,https://mediadive.dsmz.de/ingredients/25?p=2,8806,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:8806,550-82-3,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=550-82-3,C12H7NO4,229.19
(NH4)2SO4,https://mediadive.dsmz.de/ingredients/27?p=2,62946,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:62946,7783-20-2,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=7783-20-2,H8N2O4S,132.14
Na-thioglycolate,https://mediadive.dsmz.de/ingredients/30?p=2,86481,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:86481,367-51-1,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=367-51-1,C2H3NaO2S,114.099
Na2CO3,https://mediadive.dsmz.de/ingredients/32?p=2,29377,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29377,497-19-8,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=497-19-8,CH2O3.2Na,105.988
D-Fructose,https://mediadive.dsmz.de/ingredients/33?p=2,15824,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15824,57-48-7,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=57-48-7,C6H12O6,180.16
Na2-EDTA,https://mediadive.dsmz.de/ingredients/34?p=2,64734,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:64734,139-33-3,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=139-33-3,C10H16N2O8.2Na,336.206
ZnSO4x 7 H2O,https://mediadive.dsmz.de/ingredients/35?p=2,32312,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:32312,7446-20-0,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=7446-20-0,H14O11SZn,287.561
MnCl2x 4 H2O,https://mediadive.dsmz.de/ingredients/36?p=2,86368,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:86368,13446-34-9,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=13446-34-9,Cl2Mn.4H2O,197.905
H3BO3,https://mediadive.dsmz.de/ingredients/37?p=2,33118,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:33118,11113-50-1,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=11113-50-1,BH3O3,61.84
CoCl2x 6 H2O,https://mediadive.dsmz.de/ingredients/38?p=2,35696,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:35696,7646-79-9,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=7646-79-9,Cl2Co,129.839
CuCl2x 2 H2O,https://mediadive.dsmz.de/ingredients/39?p=2,86318,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:86318,10125-13-0,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=10125-13-0,Cl2CuH4O2,170.483
NiCl2x 6 H2O,https://mediadive.dsmz.de/ingredients/40?p=2,34887,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:34887,7718-54-9,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=7718-54-9,Cl2Ni,129.599
Na-gluconate,https://mediadive.dsmz.de/ingredients/41?p=2,84997,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:84997,527-07-1,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=527-07-1,C6H11NaO7,218.137
NH4Cl,https://mediadive.dsmz.de/ingredients/42?p=2,31206,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:31206,12125-02-9,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=12125-02-9,ClH4N,53.49
NaCl,https://mediadive.dsmz.de/ingredients/43?p=2,26710,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:26710,7647-14-5,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=7647-14-5,ClNa,58.44
Fe(III) citrate,https://mediadive.dsmz.de/ingredients/45?p=2,144421,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:144421,3522-50-7,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=3522-50-7,C6H8O7.Fe,244.944
Biotin,https://mediadive.dsmz.de/ingredients/46?p=2,15956,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15956,58-85-5,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=58-85-5,C10H16N2O3S,244.31
p-Aminobenzoic acid,https://mediadive.dsmz.de/ingredients/47?p=3,30753,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30753,150-13-0,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=150-13-0,C7H7NO2,137.14
Na2S x 9 H2O,https://mediadive.dsmz.de/ingredients/54?p=3,76209,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:76209,1313-84-4,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=1313-84-4,H18Na2O9S,240.182
NaHCO3,https://mediadive.dsmz.de/ingredients/55?p=3,32139,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:32139,144-55-8,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=144-55-8,CHNaO3,84.007
H2O,https://mediadive.dsmz.de/ingredients/56?p=3,15377,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15377,7732-18-5,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=7732-18-5,H2O,18.0153
Ammonium chloride,https://mediadive.dsmz.de/ingredients/57?p=3,31206,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:31206,12125-02-9,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=12125-02-9,ClH4N,53.49
Ammonium acetate,https://mediadive.dsmz.de/ingredients/58?p=3,62947,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:62947,631-61-8,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=631-61-8,C2H7NO2,77.08
Pyruvic acid sodium salt,https://mediadive.dsmz.de/ingredients/59?p=3,113246,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:113246,113-24-6,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=113-24-6,C3H3NaO3,110.04
Dextrose,https://mediadive.dsmz.de/ingredients/60?p=3,4167,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:4167,2280-44-6,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=2280-44-6,C6H14O7,198.17
KCl,https://mediadive.dsmz.de/ingredients/61?p=3,32588,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:32588,7447-40-7,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=7447-40-7,ClK,74.55
MnCl2x 2 H2O,https://mediadive.dsmz.de/ingredients/63?p=3,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,20603-88-7,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=20603-88-7,Cl2Mn.2H2O,
ZnCl2,https://mediadive.dsmz.de/ingredients/64?p=3,49976,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:49976,7646-85-7,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=7646-85-7,Cl2Zn,136.3
Na2S2O3x 5 H2O,https://mediadive.dsmz.de/ingredients/65?p=3,32150,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:32150,10102-17-7,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=10102-17-7,H2O3S2.5H2O.2Na,248.186
HCl,https://mediadive.dsmz.de/ingredients/68?p=3,17883,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17883,7647-01-0,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=7647-01-0,ClH,36.46
Na2CO3anhydrous,https://mediadive.dsmz.de/ingredients/69?p=3,29377,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29377,497-19-8,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=497-19-8,CH2O3.2Na,105.988
Tryptone,https://mediadive.dsmz.de/ingredients/71?p=3,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,91079-40-2,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=91079-40-2,complex,complex
Glycerol,https://mediadive.dsmz.de/ingredients/72?p=3,17754,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17754,56-81-5,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=56-81-5,C3H8O3,92.09
Tris,https://mediadive.dsmz.de/ingredients/73?p=3,9754,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:9754,77-86-1,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=77-86-1,C4H11NO3,121.14
Trypticase,https://mediadive.dsmz.de/ingredients/74?p=3,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=,complex,complex
Soy peptone,https://mediadive.dsmz.de/ingredients/75?p=3,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,91079-46-8,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=91079-46-8,complex,complex
Thiamine-HCl x 2 H2O,https://mediadive.dsmz.de/ingredients/77?p=3,132751,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:132751,,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=,C12H22Cl2N4O3S,373.301
MgCl2x 6 H2O,https://mediadive.dsmz.de/ingredients/79?p=4,86345,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:86345,7791-18-6,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=7791-18-6,Cl2H12MgO6,203.303
Sulfur,https://mediadive.dsmz.de/ingredients/80?p=4,26833,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:26833,7704-34-9,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=7704-34-9,S,32.07
CaCl2,https://mediadive.dsmz.de/ingredients/81?p=4,3312,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:3312,10043-52-4,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=10043-52-4,CaCl2,110.98
FeCl3x 6 H2O,https://mediadive.dsmz.de/ingredients/82?p=4,86254,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:86254,10025-77-1,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=10025-77-1,Cl3FeH12O6,270.296
Succinic acid,https://mediadive.dsmz.de/ingredients/83?p=4,15741,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15741,110-15-6,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=110-15-6,C4H6O4,118.09
Casitone,https://mediadive.dsmz.de/ingredients/84?p=4,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,65072-00-6,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=65072-00-6,complex,complex
Beef extract,https://mediadive.dsmz.de/ingredients/85?p=4,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=,complex,complex
K-acetate,https://mediadive.dsmz.de/ingredients/86?p=4,32029,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:32029,127-08-2,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=127-08-2,C2H3KO2,98.1423
Selenite-tungstate solution,https://mediadive.dsmz.de/ingredients/88?p=4,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=,,
Ethanol absolute,https://mediadive.dsmz.de/ingredients/89?p=4,64175,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:64175,1516-08-1,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=1516-08-1,C2H6O,46.07
D(+)-Glucose,https://mediadive.dsmz.de/ingredients/94?p=4,17634,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17634,50-99-7,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=50-99-7,C6H12O6,180.16
Na2HPO4x 12 H2O,https://mediadive.dsmz.de/ingredients/95?p=4,34683,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:34683,10039-32-4,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=10039-32-4,HNa2O4P,141.959
Trace element solution,https://mediadive.dsmz.de/ingredients/96?p=4,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=,,
Ferric ammonium citrate,https://mediadive.dsmz.de/ingredients/97?p=4,31604,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:31604,1185-57-5,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=1185-57-5,C6H8O7.xFe.xH3N,
Fructose,https://mediadive.dsmz.de/ingredients/98?p=4,28757,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28757,30237-26-4,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=30237-26-4,C6H12O6,180.16
Trypticase soy broth,https://mediadive.dsmz.de/ingredients/99?p=4,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=,complex,complex
Casamino acids,https://mediadive.dsmz.de/ingredients/101?p=4,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=,complex,complex
Bacto Soytone,https://mediadive.dsmz.de/ingredients/102?p=4,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=,complex,complex
(NH4) citrate,https://mediadive.dsmz.de/ingredients/104?p=4,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,3458-72-8,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=3458-72-8,C6H8O7.3H3N,
Tomato juice,https://mediadive.dsmz.de/ingredients/105?p=4,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=,complex,complex
Fe(NH4)2(SO4)2,https://mediadive.dsmz.de/ingredients/106?p=5,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,7783-85-9,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=7783-85-9,Fe.2H3N.2H2O4S.6H2O,
Na2SeO3x 5 H2O,https://mediadive.dsmz.de/ingredients/107?p=5,131361,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:131361,26970-82-1,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=26970-82-1,H10Na2O8Se,263.014
Sucrose,https://mediadive.dsmz.de/ingredients/108?p=5,17992,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17992,57-50-1,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=57-50-1,C12H22O11,342.3
Na2SO3,https://mediadive.dsmz.de/ingredients/109?p=5,86477,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:86477,7757-83-7,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=7757-83-7,Na2O3S,126.05
Na2SO4,https://mediadive.dsmz.de/ingredients/110?p=5,32149,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:32149,7757-82-6,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=7757-82-6,Na2O4S,142.04
Na-DL-lactate,https://mediadive.dsmz.de/ingredients/111?p=5,75228,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:75228,72-17-3,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=72-17-3,C3H6O3.Na,112.06
Ascorbic acid,https://mediadive.dsmz.de/ingredients/112?p=5,22652,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:22652,50-81-7,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=50-81-7,C6H8O6,176.12
Na-pyruvate,https://mediadive.dsmz.de/ingredients/113?p=5,50144,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:50144,113-24-6,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=113-24-6,C3H3NaO3,110.044
Choline chloride,https://mediadive.dsmz.de/ingredients/115?p=5,133341,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:133341,67-48-1,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=67-48-1,C5H14ClNO,139.62
Malt extract,https://mediadive.dsmz.de/ingredients/116?p=5,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,8002-48-0,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=8002-48-0,complex,complex
Bromocresol purple,https://mediadive.dsmz.de/ingredients/117?p=5,86154,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:86154,115-40-2,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=115-40-2,C21H16Br2O5S,540.2
Phenol red,https://mediadive.dsmz.de/ingredients/119?p=5,31991,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:31991,143-74-8,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=143-74-8,C19H14O5S,354.4
